itrial,dataset,method,coverage,width,L2_lambda
0,airfoil,IF1-jackknife,0.935,1.3897575931641128,0.5
0,airfoil,IF1-jackknife-mm,0.945,1.4858358593712628,0.5
0,airfoil,IF1-jackknife+,0.935,1.3750729202610739,0.5
0,airfoil,IF1-JAWA,0.935,1.3842674244546378,0.5
0,airfoil,IF1-JAWAmm,0.94,1.4003387678784858,0.5
0,airfoil,IF2-jackknife,0.935,1.4175305081358065,0.5
0,airfoil,IF2-jackknife-mm,0.95,1.540933918368654,0.5
0,airfoil,IF2-jackknife+,0.935,1.4235506690518098,0.5
0,airfoil,IF2-JAWA,0.935,1.4405170961525484,0.5
0,airfoil,IF2-JAWAmm,0.95,1.5405593957520063,0.5
0,airfoil,IF3-jackknife,0.935,1.4405436944163341,0.5
0,airfoil,IF3-jackknife-mm,0.95,1.5734436027352094,0.5
0,airfoil,IF3-jackknife+,0.935,1.444077765043516,0.5
0,airfoil,IF3-JAWA,0.935,1.458653943615373,0.5
0,airfoil,IF3-JAWAmm,0.95,1.5535250213524971,0.5
0,airfoil,IF1-jackknife,0.935,1.4670857670585082,1.0
0,airfoil,IF1-jackknife-mm,0.95,1.5608642931915342,1.0
0,airfoil,IF1-jackknife+,0.935,1.4593401334477103,1.0
0,airfoil,IF1-JAWA,0.935,1.468708166876422,1.0
0,airfoil,IF1-JAWAmm,0.95,1.528110561479333,1.0
0,airfoil,IF2-jackknife,0.945,1.5260436909719592,1.0
0,airfoil,IF2-jackknife-mm,0.955,1.6412376423366357,1.0
0,airfoil,IF2-jackknife+,0.95,1.5260436909719592,1.0
0,airfoil,IF2-JAWA,0.95,1.5503716369194922,1.0
0,airfoil,IF2-JAWAmm,0.955,1.6100676511240746,1.0
0,airfoil,IF3-jackknife,0.945,1.5259247332632917,1.0
0,airfoil,IF3-jackknife-mm,0.955,1.6471466941309671,1.0
0,airfoil,IF3-jackknife+,0.95,1.5327509920407325,1.0
0,airfoil,IF3-JAWA,0.95,1.5635395220027677,1.0
0,airfoil,IF3-JAWAmm,0.955,1.6340336009505418,1.0
0,airfoil,IF1-jackknife,0.945,1.5757444862831163,2.0
0,airfoil,IF1-jackknife-mm,0.955,1.6641310132443676,2.0
0,airfoil,IF1-jackknife+,0.945,1.568064870971439,2.0
0,airfoil,IF1-JAWA,0.95,1.5739990606104843,2.0
0,airfoil,IF1-JAWAmm,0.955,1.6449617707348245,2.0
0,airfoil,IF2-jackknife,0.955,1.6038671984077357,2.0
0,airfoil,IF2-jackknife-mm,0.955,1.7039869805050452,2.0
0,airfoil,IF2-jackknife+,0.95,1.601801501967398,2.0
0,airfoil,IF2-JAWA,0.95,1.6064384437414967,2.0
0,airfoil,IF2-JAWAmm,0.955,1.6988992660031117,2.0
0,airfoil,IF3-jackknife,0.955,1.6160772723405423,2.0
0,airfoil,IF3-jackknife-mm,0.955,1.7165644189593405,2.0
0,airfoil,IF3-jackknife+,0.95,1.6122022289771358,2.0
0,airfoil,IF3-JAWA,0.95,1.6168456508207047,2.0
0,airfoil,IF3-JAWAmm,0.955,1.7126893755959345,2.0
0,airfoil,IF1-jackknife,0.94,1.6854516914531583,4.0
0,airfoil,IF1-jackknife-mm,0.945,1.7571396006796398,4.0
0,airfoil,IF1-jackknife+,0.94,1.689897148795346,4.0
0,airfoil,IF1-JAWA,0.95,1.7416845791731854,4.0
0,airfoil,IF1-JAWAmm,0.945,1.7473066456419373,4.0
0,airfoil,IF2-jackknife,0.94,1.6940528391970973,4.0
0,airfoil,IF2-jackknife-mm,0.945,1.7912454064387084,4.0
0,airfoil,IF2-jackknife+,0.94,1.6990020706351727,4.0
0,airfoil,IF2-JAWA,0.95,1.753701464427419,4.0
