itrial,dataset,method,coverage,width,L2_lambda
0,communities,IF1-jackknife,0.07,0.12300408930883266,0.5
0,communities,IF1-jackknife-mm,0.08,0.1398864631517079,0.5
0,communities,IF1-jackknife+,0.07,0.1228914580603925,0.5
0,communities,IF1-JAWA,0.07,0.12425122836120384,0.5
0,communities,IF1-JAWAmm,0.08,0.13826422411855263,0.5
0,communities,IF2-jackknife,0.095,0.17729519591156961,0.5
0,communities,IF2-jackknife-mm,0.125,0.20975608017445818,0.5
0,communities,IF2-jackknife+,0.1,0.17807197225575272,0.5
0,communities,IF2-JAWA,0.1,0.1807301330547464,0.5
0,communities,IF2-JAWAmm,0.125,0.20839128185112815,0.5
0,communities,IF3-jackknife,0.15,0.23025905441932615,0.5
0,communities,IF3-jackknife-mm,0.19,0.27706172181695565,0.5
0,communities,IF3-jackknife+,0.155,0.23025905441932615,0.5
0,communities,IF3-JAWA,0.155,0.2332474930784843,0.5
0,communities,IF3-JAWAmm,0.185,0.27079553579206417,0.5
0,communities,IF1-jackknife,0.14,0.24827978224465075,1.0
0,communities,IF1-jackknife-mm,0.19,0.27973201919767293,1.0
0,communities,IF1-jackknife+,0.14,0.24827978224465097,1.0
0,communities,IF1-JAWA,0.145,0.2521894175221293,1.0
0,communities,IF1-JAWAmm,0.18,0.2719536901651843,1.0
0,communities,IF2-jackknife,0.205,0.3414755840442689,1.0
0,communities,IF2-jackknife-mm,0.255,0.39993501599012327,1.0
0,communities,IF2-jackknife+,0.21,0.3490286292796974,1.0
0,communities,IF2-JAWA,0.22,0.35368007197593143,1.0
0,communities,IF2-JAWAmm,0.25,0.3964229441838013,1.0
0,communities,IF3-jackknife,0.27,0.4314613021061007,1.0
0,communities,IF3-jackknife-mm,0.32,0.5134119572381352,1.0
0,communities,IF3-jackknife+,0.285,0.4358773488630564,1.0
0,communities,IF3-JAWA,0.285,0.4420834291236885,1.0
0,communities,IF3-JAWAmm,0.32,0.5032246244324284,1.0
0,communities,IF1-jackknife,0.235,0.42760360971724265,2.0
0,communities,IF1-jackknife-mm,0.28,0.4838643887432821,2.0
0,communities,IF1-jackknife+,0.245,0.43753701116537574,2.0
0,communities,IF1-JAWA,0.245,0.4446591209274086,2.0
0,communities,IF1-JAWAmm,0.28,0.4825683249057697,2.0
0,communities,IF2-jackknife,0.355,0.5913672548060438,2.0
0,communities,IF2-jackknife-mm,0.435,0.6915169584266821,2.0
0,communities,IF2-jackknife+,0.36,0.5970113197529459,2.0
0,communities,IF2-JAWA,0.365,0.6028882267022677,2.0
0,communities,IF2-JAWAmm,0.42,0.6876599594028373,2.0
0,communities,IF3-jackknife,0.435,0.7200584137763042,2.0
0,communities,IF3-jackknife-mm,0.515,0.8551853570907004,2.0
0,communities,IF3-jackknife+,0.435,0.7303764109040776,2.0
0,communities,IF3-JAWA,0.44,0.7368040385635746,2.0
0,communities,IF3-JAWAmm,0.51,0.850780399923752,2.0
0,communities,IF1-jackknife,0.49,0.7685884553979738,4.0
0,communities,IF1-jackknife-mm,0.545,0.8819549065472536,4.0
0,communities,IF1-jackknife+,0.49,0.7741233613162852,4.0
0,communities,IF1-JAWA,0.49,0.7843363586137437,4.0
0,communities,IF1-JAWAmm,0.54,0.8587990045118061,4.0
0,communities,IF2-jackknife,0.575,0.9676912802191984,4.0
0,communities,IF2-jackknife-mm,0.655,1.165458805140649,4.0
0,communities,IF2-jackknife+,0.58,0.9887266329978752,4.0
0,communities,IF2-JAWA,0.59,0.9993461804056225,4.0
0,communities,IF2-JAWAmm,0.65,1.1616229978193453,4.0
0,communities,IF3-jackknife,0.635,1.1637362296544755,4.0
0,communities,IF3-jackknife-mm,0.765,1.6362456855767373,4.0
0,communities,IF3-jackknife+,0.645,1.1696189836512199,4.0
0,communities,IF3-JAWA,0.65,1.1811208847108774,4.0
0,communities,IF3-JAWAmm,0.765,1.6094770379334347,4.0
0,communities,IF1-jackknife,0.74,1.2691961690640907,8.0
0,communities,IF1-jackknife-mm,0.76,1.438174901197622,8.0
0,communities,IF1-jackknife+,0.735,1.2884705638723193,8.0
0,communities,IF1-JAWA,0.74,1.312895167833807,8.0
0,communities,IF1-JAWAmm,0.76,1.4344554607248878,8.0
0,communities,IF2-jackknife,0.765,1.5271165700969505,8.0
0,communities,IF2-jackknife-mm,0.845,1.8008347010484154,8.0
0,communities,IF2-jackknife+,0.775,1.5293971722059974,8.0
0,communities,IF2-JAWA,0.785,1.5582706007995104,8.0
0,communities,IF2-JAWAmm,0.81,1.7266355929631025,8.0
0,communities,IF3-jackknife,0.805,1.6218398549843223,8.0
0,communities,IF3-jackknife-mm,0.88,2.1583513498113405,8.0
0,communities,IF3-jackknife+,0.81,1.6901980769117142,8.0
0,communities,IF3-JAWA,0.81,1.718113714020514,8.0
0,communities,IF3-JAWAmm,0.88,2.150643203254118,8.0
0,communities,IF1-jackknife,0.84,2.0474894982234595,16.0
0,communities,IF1-jackknife-mm,0.89,2.3132924346464074,16.0
0,communities,IF1-jackknife+,0.845,2.0623864350085794,16.0
0,communities,IF1-JAWA,0.85,2.095027791678089,16.0
0,communities,IF1-JAWAmm,0.885,2.295277576715944,16.0
0,communities,IF2-jackknife,0.875,2.26779555336853,16.0
0,communities,IF2-jackknife-mm,0.965,5.342767702280371,16.0
0,communities,IF2-jackknife+,0.88,2.2615333549701173,16.0
0,communities,IF2-JAWA,0.88,2.280215125313309,16.0
0,communities,IF2-JAWAmm,0.965,5.336040324338474,16.0
0,communities,IF3-jackknife,0.89,2.479112462820819,16.0
0,communities,IF3-jackknife-mm,1.0,20.338572704800992,16.0
0,communities,IF3-jackknife+,0.88,2.4414334501268726,16.0
0,communities,IF3-JAWA,0.885,2.4752231024561873,16.0
0,communities,IF3-JAWAmm,1.0,20.160110911788355,16.0
0,communities,IF1-jackknife,0.845,2.2127844402825074,32.0
0,communities,IF1-jackknife-mm,0.895,2.4661978580918187,32.0
0,communities,IF1-jackknife+,0.85,2.2127844402825074,32.0
0,communities,IF1-JAWA,0.855,2.2371690350130624,32.0
0,communities,IF1-JAWAmm,0.89,2.40645245256817,32.0
0,communities,IF2-jackknife,0.87,2.4238005424272515,32.0
0,communities,IF2-jackknife-mm,0.925,2.7828116478390093,32.0
0,communities,IF2-jackknife+,0.87,2.4315658775475137,32.0
0,communities,IF2-JAWA,0.87,2.460234185488522,32.0
0,communities,IF2-JAWAmm,0.925,2.761291141627853,32.0
0,communities,IF3-jackknife,0.875,2.5029358495913656,32.0
0,communities,IF3-jackknife-mm,0.945,2.9085480373843726,32.0
0,communities,IF3-jackknife+,0.875,2.5266061746713104,32.0
0,communities,IF3-JAWA,0.875,2.5563855595572886,32.0
0,communities,IF3-JAWAmm,0.94,2.8595336338141353,32.0
0,communities,IF1-jackknife,0.88,2.290494516141496,64.0
0,communities,IF1-jackknife-mm,0.905,2.5172119525667167,64.0
0,communities,IF1-jackknife+,0.88,2.301144319796469,64.0
0,communities,IF1-JAWA,0.88,2.322084884686668,64.0
0,communities,IF1-JAWAmm,0.9,2.5008595548857784,64.0
0,communities,IF2-jackknife,0.895,2.4669152148794433,64.0
0,communities,IF2-jackknife-mm,0.93,2.7687272262469946,64.0
0,communities,IF2-jackknife+,0.895,2.4457073833826786,64.0
0,communities,IF2-JAWA,0.895,2.4635775477821245,64.0
0,communities,IF2-JAWAmm,0.93,2.735430436279806,64.0
0,communities,IF3-jackknife,0.9,2.484585722354871,64.0
0,communities,IF3-jackknife-mm,0.94,2.816755123915179,64.0
0,communities,IF3-jackknife+,0.9,2.4832367727723166,64.0
0,communities,IF3-JAWA,0.9,2.500595076299624,64.0
0,communities,IF3-JAWAmm,0.935,2.80941905779524,64.0
0,communities,IF1-jackknife,0.885,2.2898938959102204,96.0
0,communities,IF1-jackknife-mm,0.9,2.475458191387553,96.0
0,communities,IF1-jackknife+,0.885,2.2901591129312044,96.0
0,communities,IF1-JAWA,0.89,2.3386824232992827,96.0
0,communities,IF1-JAWAmm,0.9,2.4353824097940118,96.0
0,communities,IF2-jackknife,0.895,2.3839235679870083,96.0
0,communities,IF2-jackknife-mm,0.915,2.621620100548359,96.0
0,communities,IF2-jackknife+,0.895,2.385120938570292,96.0
0,communities,IF2-JAWA,0.9,2.424595790164486,96.0
0,communities,IF2-JAWAmm,0.905,2.569695254757066,96.0
0,communities,IF3-jackknife,0.895,2.4213873079350297,96.0
0,communities,IF3-jackknife-mm,0.97,3.704990090812842,96.0
0,communities,IF3-jackknife+,0.89,2.4006138254092066,96.0
0,communities,IF3-JAWA,0.895,2.426999472292419,96.0
0,communities,IF3-JAWAmm,0.97,3.6249020187384593,96.0
0,communities,IF1-jackknife,0.905,2.528756161162827,128.0
0,communities,IF1-jackknife-mm,0.915,2.660074213905756,128.0
0,communities,IF1-jackknife+,0.905,2.5432756287247646,128.0
0,communities,IF1-JAWA,0.905,2.5733931943839323,128.0
0,communities,IF1-JAWAmm,0.915,2.6599823144535315,128.0
0,communities,IF2-jackknife,0.91,2.590241677214352,128.0
0,communities,IF2-jackknife-mm,0.925,2.7532209589341736,128.0
0,communities,IF2-jackknife+,0.91,2.605962633087424,128.0
0,communities,IF2-JAWA,0.91,2.634822919579306,128.0
0,communities,IF2-JAWAmm,0.925,2.751098168405825,128.0
0,communities,IF3-jackknife,0.91,2.5991606989459664,128.0
0,communities,IF3-jackknife-mm,0.985,4.121139438799661,128.0
0,communities,IF3-jackknife+,0.91,2.5984165389957528,128.0
0,communities,IF3-JAWA,0.91,2.6179323637675473,128.0
0,communities,IF3-JAWAmm,0.985,4.118733577542535,128.0
1,communities,IF1-jackknife,0.09,0.11392441240011486,0.5
1,communities,IF1-jackknife-mm,0.12,0.12759097643618547,0.5
1,communities,IF1-jackknife+,0.09,0.11394130442452949,0.5
1,communities,IF1-JAWA,0.09,0.1144570999869058,0.5
1,communities,IF1-JAWAmm,0.12,0.12676254746544183,0.5
1,communities,IF2-jackknife,0.145,0.16435676997446014,0.5
