itrial,dataset,method,coverage,width,L2_lambda
0,superconduct,IF1-jackknife,0.515,0.6969039236238788,0.5
0,superconduct,IF1-jackknife-mm,0.59,0.8013181803733094,0.5
0,superconduct,IF1-jackknife+,0.53,0.7018089358565723,0.5
0,superconduct,IF1-JAWA,0.535,0.7180090335630869,0.5
0,superconduct,IF1-JAWAmm,0.57,0.7933762469503611,0.5
0,superconduct,IF2-jackknife,0.59,0.817936103955887,0.5
0,superconduct,IF2-jackknife-mm,0.64,0.9601235320359398,0.5
0,superconduct,IF2-jackknife+,0.575,0.8150905285898664,0.5
0,superconduct,IF2-JAWA,0.58,0.8246610616263564,0.5
0,superconduct,IF2-JAWAmm,0.625,0.8988015273458483,0.5
0,superconduct,IF3-jackknife,0.595,0.851812962989791,0.5
0,superconduct,IF3-jackknife-mm,0.65,1.0050735824723016,0.5
0,superconduct,IF3-jackknife+,0.59,0.8480826956101011,0.5
0,superconduct,IF3-JAWA,0.6,0.8541791360096145,0.5
0,superconduct,IF3-JAWAmm,0.65,0.9959815854105185,0.5
0,superconduct,IF1-jackknife,0.585,0.837187419835643,1.0
0,superconduct,IF1-jackknife-mm,0.625,0.9393760476510808,1.0
0,superconduct,IF1-jackknife+,0.57,0.8293952738390002,1.0
0,superconduct,IF1-JAWA,0.58,0.8389268373224084,1.0
0,superconduct,IF1-JAWAmm,0.535,0.7442676272755359,1.0
0,superconduct,IF2-jackknife,0.59,0.8676815094036352,1.0
0,superconduct,IF2-jackknife-mm,0.645,1.0007018851549754,1.0
0,superconduct,IF2-jackknife+,0.585,0.860631578048247,1.0
0,superconduct,IF2-JAWA,0.59,0.8707934014337049,1.0
0,superconduct,IF2-JAWAmm,0.57,0.8171271031402696,1.0
0,superconduct,IF3-jackknife,0.59,0.8739442351133841,1.0
0,superconduct,IF3-jackknife-mm,0.66,1.0328413780605794,1.0
0,superconduct,IF3-jackknife+,0.585,0.8683193011315197,1.0
0,superconduct,IF3-JAWA,0.61,0.8797536985482799,1.0
0,superconduct,IF3-JAWAmm,0.595,0.8668774292286329,1.0
0,superconduct,IF1-jackknife,0.58,0.8292767921080093,2.0
0,superconduct,IF1-jackknife-mm,0.65,0.9443264344002578,2.0
0,superconduct,IF1-jackknife+,0.58,0.8258850588888955,2.0
0,superconduct,IF1-JAWA,0.585,0.8340870879838649,2.0
0,superconduct,IF1-JAWAmm,0.615,0.8785755079853121,2.0
0,superconduct,IF2-jackknife,0.63,0.9432172287265987,2.0
0,superconduct,IF2-jackknife-mm,0.695,1.105173222635061,2.0
0,superconduct,IF2-jackknife+,0.635,0.9369544256345055,2.0
0,superconduct,IF2-JAWA,0.64,0.9438245004921622,2.0
0,superconduct,IF2-JAWAmm,0.69,1.0864343147710755,2.0
0,superconduct,IF3-jackknife,0.645,1.011067674449342,2.0
0,superconduct,IF3-jackknife-mm,0.715,1.1984309848660955,2.0
0,superconduct,IF3-jackknife+,0.655,1.0156060403664047,2.0
0,superconduct,IF3-JAWA,0.665,1.0310970736336622,2.0
0,superconduct,IF3-JAWAmm,0.715,1.1911532292814029,2.0
0,superconduct,IF1-jackknife,0.685,1.0667214034328956,4.0
0,superconduct,IF1-jackknife-mm,0.755,1.193108801009439,4.0
0,superconduct,IF1-jackknife+,0.685,1.0667214034328953,4.0
0,superconduct,IF1-JAWA,0.685,1.0715883986495909,4.0
0,superconduct,IF1-JAWAmm,0.735,1.1657628720633908,4.0
0,superconduct,IF2-jackknife,0.75,1.2289877993705967,4.0
0,superconduct,IF2-jackknife-mm,0.825,1.4444962608096656,4.0
0,superconduct,IF2-jackknife+,0.755,1.2289877993705967,4.0
