itrial,dataset,method,coverage,width,L2_lambda
0,wave,IF1-jackknife,0.285,0.06544893383059813,0.5
0,wave,IF1-jackknife-mm,0.32,0.07231752397307684,0.5
0,wave,IF1-jackknife+,0.285,0.06628907211831908,0.5
0,wave,IF1-JAWA,0.285,0.06664652581251901,0.5
0,wave,IF1-JAWAmm,0.32,0.07228656390998339,0.5
0,wave,IF2-jackknife,0.385,0.08807188942375843,0.5
0,wave,IF2-jackknife-mm,0.42,0.09991933507013129,0.5
0,wave,IF2-jackknife+,0.385,0.08839034772968207,0.5
0,wave,IF2-JAWA,0.39,0.0890958036444906,0.5
0,wave,IF2-JAWAmm,0.42,0.09933789214919408,0.5
0,wave,IF3-jackknife,0.43,0.1061160730903059,0.5
0,wave,IF3-jackknife-mm,0.47,0.12164748032437017,0.5
0,wave,IF3-jackknife+,0.43,0.10577886553115201,0.5
0,wave,IF3-JAWA,0.43,0.10645607815526817,0.5
0,wave,IF3-JAWAmm,0.47,0.12131027276521628,0.5
0,wave,IF1-jackknife,0.51,0.07259954582704209,1.0
0,wave,IF1-jackknife-mm,0.57,0.08011790371859101,1.0
0,wave,IF1-jackknife+,0.515,0.07160737429339914,1.0
0,wave,IF1-JAWA,0.515,0.07203830905771162,1.0
0,wave,IF1-JAWAmm,0.545,0.07772343611283666,1.0
0,wave,IF2-jackknife,0.585,0.08452713231904507,1.0
0,wave,IF2-jackknife-mm,0.65,0.09578222960211624,1.0
0,wave,IF2-jackknife+,0.59,0.08559209339103518,1.0
0,wave,IF2-JAWA,0.59,0.08613783478158493,1.0
0,wave,IF2-JAWAmm,0.65,0.09546904243772292,1.0
0,wave,IF3-jackknife,0.62,0.09487294187098971,1.0
0,wave,IF3-jackknife-mm,0.675,0.10808451967701366,1.0
0,wave,IF3-jackknife+,0.615,0.09446650272850987,1.0
0,wave,IF3-JAWA,0.62,0.09487294187098971,1.0
0,wave,IF3-JAWAmm,0.675,0.10787335365837758,1.0
0,wave,IF1-jackknife,0.875,0.07643077534426768,2.0
0,wave,IF1-jackknife-mm,0.925,0.08633496985979716,2.0
0,wave,IF1-jackknife+,0.865,0.07579881247991527,2.0
0,wave,IF1-JAWA,0.875,0.07643077534426768,2.0
0,wave,IF1-JAWAmm,0.925,0.08402279136453955,2.0
0,wave,IF2-jackknife,0.915,0.08346106151917065,2.0
0,wave,IF2-jackknife-mm,0.925,0.09604539113823518,2.0
0,wave,IF2-jackknife+,0.91,0.08249613702978112,2.0
0,wave,IF2-JAWA,0.91,0.08325546464955991,2.0
0,wave,IF2-JAWAmm,0.925,0.09234265152162552,2.0
0,wave,IF3-jackknife,0.915,0.08520617326777802,2.0
0,wave,IF3-jackknife-mm,0.935,0.0989378965310389,2.0
0,wave,IF3-jackknife+,0.915,0.08469718641399863,2.0
0,wave,IF3-JAWA,0.915,0.0853085855119865,2.0
0,wave,IF3-JAWAmm,0.925,0.09522495166000478,2.0
0,wave,IF1-jackknife,0.935,0.09247918607327765,4.0
0,wave,IF1-jackknife-mm,0.95,0.10545601553185513,4.0
0,wave,IF1-jackknife+,0.925,0.0917350968071039,4.0
0,wave,IF1-JAWA,0.935,0.09263914877890977,4.0
0,wave,IF1-JAWAmm,0.94,0.1018838444075576,4.0
0,wave,IF2-jackknife,0.935,0.09656423282353233,4.0
0,wave,IF2-jackknife-mm,0.95,0.1123288706277743,4.0
0,wave,IF2-jackknife+,0.935,0.09647867897663409,4.0
0,wave,IF2-JAWA,0.935,0.09759924899636889,4.0
0,wave,IF2-JAWAmm,0.95,0.10961225780300432,4.0
0,wave,IF3-jackknife,0.935,0.0975352533653231,4.0
0,wave,IF3-jackknife-mm,0.95,0.11408262738210115,4.0
0,wave,IF3-jackknife+,0.935,0.0975352533653231,4.0
0,wave,IF3-JAWA,0.935,0.09885672170268434,4.0
0,wave,IF3-JAWAmm,0.95,0.11172897600061657,4.0
0,wave,IF1-jackknife,0.95,0.1856730097057624,8.0
0,wave,IF1-jackknife-mm,0.95,0.20316320077991593,8.0
0,wave,IF1-jackknife+,0.95,0.18282813457681593,8.0
0,wave,IF1-JAWA,0.95,0.18468674043286337,8.0
0,wave,IF1-JAWAmm,0.95,0.1923034579500175,8.0
0,wave,IF2-jackknife,0.95,0.19352134705528723,8.0
0,wave,IF2-jackknife-mm,0.955,0.2143284160553461,8.0
0,wave,IF2-jackknife+,0.95,0.1894790803723444,8.0
0,wave,IF2-JAWA,0.95,0.19105756873569457,8.0
0,wave,IF2-JAWAmm,0.95,0.2042441505532707,8.0
0,wave,IF3-jackknife,0.95,0.19533406693039135,8.0
0,wave,IF3-jackknife-mm,0.955,0.21680138987394587,8.0
0,wave,IF3-jackknife+,0.95,0.19098139144684378,8.0
0,wave,IF3-JAWA,0.95,0.19252705297831146,8.0
0,wave,IF3-JAWAmm,0.95,0.20706959367727912,8.0
0,wave,IF1-jackknife,0.95,0.34462904028699937,16.0
0,wave,IF1-jackknife-mm,0.955,0.37154459148941416,16.0
0,wave,IF1-jackknife+,0.95,0.344105381205496,16.0
0,wave,IF1-JAWA,0.95,0.3461423240461293,16.0
0,wave,IF1-JAWAmm,0.955,0.3708583364058026,16.0
0,wave,IF2-jackknife,0.95,0.3553218491348753,16.0
0,wave,IF2-jackknife-mm,0.955,0.3879032243594474,16.0
0,wave,IF2-jackknife+,0.95,0.3563712478559766,16.0
0,wave,IF2-JAWA,0.95,0.3594179232609132,16.0
0,wave,IF2-JAWAmm,0.955,0.3877344728372852,16.0
0,wave,IF3-jackknife,0.95,0.3574169412050159,16.0
0,wave,IF3-jackknife-mm,0.955,0.39138019317770495,16.0
0,wave,IF3-jackknife+,0.95,0.3595971852679547,16.0
0,wave,IF3-JAWA,0.95,0.36240638101810874,16.0
