itrial,dataset,method,coverage,width,L2_lambda
0,airfoil,IF1-jackknife,0.7422867513611615,1.2714354613982324,1.0
0,airfoil,IF1-jackknife-mm,0.778584392014519,1.383205636995367,1.0
0,airfoil,IF1-jackknife+,0.7459165154264973,1.2678249381061666,1.0
0,airfoil,IF1-JAWA,0.8493647912885662,1.8383883242720054,1.0
0,airfoil,IF1-JAWA,0.8493647912885662,1.8383883242720054,1.0
0,airfoil,IF2-jackknife,0.7531760435571688,1.293944666693531,1.0
0,airfoil,IF2-jackknife-mm,0.8166969147005445,1.8031439702792182,1.0
0,airfoil,IF2-jackknife+,0.7549909255898367,1.2908260781099934,1.0
0,airfoil,IF2-JAWA,0.9183303085299456,2.1873725779630124,1.0
0,airfoil,IF2-JAWAmm,0.8802177858439202,2.334577171394705,1.0
0,airfoil,IF3-jackknife,0.764065335753176,1.3215652662812076,1.0
0,airfoil,IF3-jackknife-mm,0.9019963702359347,11.119374309663208,1.0
0,airfoil,IF3-jackknife+,0.7586206896551724,1.3162410213029436,1.0
0,airfoil,IF3-JAWA,0.9292196007259528,2.218672615060332,1.0
0,airfoil,IF3-JAWAmm,0.9382940108892922,11.627144817081195,1.0
1,airfoil,IF1-jackknife,0.7931034482758621,1.342299419455196,1.0
1,airfoil,IF1-jackknife-mm,0.8257713248638838,1.4773565196199616,1.0
1,airfoil,IF1-jackknife+,0.7967332123411979,1.350173559356159,1.0
1,airfoil,IF1-JAWA,0.911070780399274,2.0573748747822735,1.0
1,airfoil,IF1-JAWA,0.911070780399274,2.0573748747822735,1.0
1,airfoil,IF2-jackknife,0.8130671506352087,1.3856757310739583,1.0
1,airfoil,IF2-jackknife-mm,0.9019963702359347,1.9262361241956256,1.0
1,airfoil,IF2-jackknife+,0.8058076225045372,1.3925033489288623,1.0
1,airfoil,IF2-JAWA,0.9147005444646098,2.1420360711791337,1.0
1,airfoil,IF2-JAWAmm,0.9437386569872959,2.5349623584074537,1.0
1,airfoil,IF3-jackknife,0.852994555353902,1.5721554311047932,1.0
1,airfoil,IF3-jackknife-mm,0.969147005444646,8.304543396338572,1.0
1,airfoil,IF3-jackknife+,0.8366606170598911,1.5206588850865796,1.0
1,airfoil,IF3-JAWA,0.9201451905626135,2.2063208686520164,1.0
1,airfoil,IF3-JAWAmm,0.9891107078039928,8.821090648981993,1.0
2,airfoil,IF1-jackknife,0.7604355716878403,1.1511307956558776,1.0
2,airfoil,IF1-jackknife-mm,0.7876588021778584,1.290209955162302,1.0
2,airfoil,IF1-jackknife+,0.7604355716878403,1.1551170935924198,1.0
2,airfoil,IF1-JAWA,0.8983666061705989,1.8416712678441503,1.0
2,airfoil,IF1-JAWA,0.8983666061705989,1.8416712678441503,1.0
2,airfoil,IF2-jackknife,0.7695099818511797,1.200609854329188,1.0
2,airfoil,IF2-jackknife-mm,0.8003629764065335,1.3732045159435806,1.0
2,airfoil,IF2-jackknife+,0.7713248638838476,1.2006098543291883,1.0
2,airfoil,IF2-JAWA,0.8983666061705989,1.8668099833948943,1.0
2,airfoil,IF2-JAWAmm,0.911070780399274,1.8273033123698557,1.0
2,airfoil,IF3-jackknife,0.7695099818511797,1.2026018899205682,1.0
2,airfoil,IF3-jackknife-mm,0.8112522686025408,1.3965085770200387,1.0
2,airfoil,IF3-jackknife+,0.7713248638838476,1.208550557454552,1.0
2,airfoil,IF3-JAWA,0.8983666061705989,1.8646035654125315,1.0
2,airfoil,IF3-JAWAmm,0.911070780399274,1.8488341175489955,1.0
3,airfoil,IF1-jackknife,0.691470054446461,1.3046409430279982,1.0
3,airfoil,IF1-jackknife-mm,0.7332123411978222,1.4128016659088134,1.0
3,airfoil,IF1-jackknife+,0.6878402903811253,1.280766879132107,1.0
3,airfoil,IF1-JAWA,0.8548094373865699,1.8173259640633266,1.0
3,airfoil,IF1-JAWA,0.8548094373865699,1.8173259640633266,1.0
3,airfoil,IF2-jackknife,0.6987295825771325,1.3387724568802208,1.0
3,airfoil,IF2-jackknife-mm,0.7477313974591652,1.4883422489777378,1.0
3,airfoil,IF2-jackknife+,0.6896551724137931,1.302350614155064,1.0
3,airfoil,IF2-JAWA,0.8838475499092558,2.0915602495311445,1.0
3,airfoil,IF2-JAWAmm,0.8475499092558983,1.9199164001662212,1.0
3,airfoil,IF3-jackknife,0.6987295825771325,1.3349966494078829,1.0
3,airfoil,IF3-jackknife-mm,0.7731397459165155,1.571200364911497,1.0
3,airfoil,IF3-jackknife+,0.6896551724137931,1.3043190079695082,1.0
3,airfoil,IF3-JAWA,0.8820326678765881,2.108688249481083,1.0
3,airfoil,IF3-JAWAmm,0.8602540834845736,2.0264142824919276,1.0
4,airfoil,IF1-jackknife,0.7713248638838476,1.3534975780074596,1.0
4,airfoil,IF1-jackknife-mm,0.8130671506352087,1.4755312479944749,1.0
4,airfoil,IF1-jackknife+,0.7713248638838476,1.3477795789625282,1.0
4,airfoil,IF1-JAWA,0.8747731397459165,1.895831666285739,1.0
4,airfoil,IF1-JAWA,0.8747731397459165,1.895831666285739,1.0
4,airfoil,IF2-jackknife,0.7894736842105263,1.3653984335860831,1.0
4,airfoil,IF2-jackknife-mm,0.8294010889292196,1.512733516252267,1.0
4,airfoil,IF2-jackknife+,0.7767695099818511,1.3738476116856804,1.0
4,airfoil,IF2-JAWA,0.8892921960072595,1.976987865806354,1.0
4,airfoil,IF2-JAWAmm,0.9001814882032668,2.0118849659615488,1.0
4,airfoil,IF3-jackknife,0.7912885662431942,1.3686416353192477,1.0
