itrial,dataset,method,coverage,width,L2_lambda
0,communities,IF1-jackknife,0.6386449184441656,2.0809984271676463,64.0
0,communities,IF1-jackknife-mm,0.6951066499372648,2.3543716420553453,64.0
0,communities,IF1-jackknife+,0.64366373902133,2.0847560483431193,64.0
0,communities,IF1-JAWA,0.8444165621079046,3.0777291785461576,64.0
0,communities,IF1-JAWA,0.8444165621079046,3.0777291785461576,64.0
0,communities,IF2-jackknife,0.6888331242158093,2.33806145691785,64.0
0,communities,IF2-jackknife-mm,0.7528230865746549,2.704513580843785,64.0
0,communities,IF2-jackknife+,0.6700125470514429,2.317555081306471,64.0
0,communities,IF2-JAWA,0.8682559598494354,3.356493781024134,64.0
0,communities,IF2-JAWAmm,0.8519447929736512,3.3828698908329162,64.0
0,communities,IF3-jackknife,0.7051442910915935,2.4370929588514754,64.0
0,communities,IF3-jackknife-mm,0.7703889585947302,2.847697255817808,64.0
0,communities,IF3-jackknife+,0.6938519447929736,2.4002253487790792,64.0
0,communities,IF3-JAWA,0.875784190715182,3.488767612437523,64.0
0,communities,IF3-JAWAmm,0.8996235884567126,3.7340399248093004,64.0
1,communities,IF1-jackknife,0.7289836888331243,2.14305247859144,64.0
1,communities,IF1-jackknife-mm,0.795483061480552,2.419115752934717,64.0
1,communities,IF1-jackknife+,0.7051442910915935,2.14305247859144,64.0
1,communities,IF1-JAWA,0.9410288582183187,3.623866350480481,64.0
1,communities,IF1-JAWA,0.9410288582183187,3.623866350480481,64.0
1,communities,IF2-jackknife,0.7992471769134254,2.4263300087473705,64.0
1,communities,IF2-jackknife-mm,0.863237139272271,2.795647806930442,64.0
1,communities,IF2-jackknife+,0.7565872020075283,2.38330800362809,64.0
1,communities,IF2-JAWA,0.9598494353826851,4.141359936621823,64.0
1,communities,IF2-JAWAmm,0.9686323713927227,4.366905736229516,64.0
1,communities,IF3-jackknife,0.8042659974905897,2.4977056300802722,64.0
1,communities,IF3-jackknife-mm,0.8845671267252195,2.909986831833721,64.0
1,communities,IF3-jackknife+,0.7816813048933501,2.489367333619492,64.0
1,communities,IF3-JAWA,0.9799247176913425,4.4785630102374405,64.0
1,communities,IF3-JAWAmm,0.9899623588456713,4.745087148003515,64.0
2,communities,IF1-jackknife,0.9247176913425345,2.124005482244661,64.0
2,communities,IF1-jackknife-mm,0.9422835633626098,2.315515900166996,64.0
2,communities,IF1-jackknife+,0.918444165621079,2.1073082327964343,64.0
2,communities,IF1-JAWA,0.8682559598494354,1.542167315743793,64.0
2,communities,IF1-JAWA,0.8682559598494354,1.542167315743793,64.0
2,communities,IF2-jackknife,0.9372647427854455,2.328869446113145,64.0
2,communities,IF2-jackknife-mm,0.9510664993726474,2.5805597638472304,64.0
2,communities,IF2-jackknife+,0.9335006273525721,2.297148904182163,64.0
2,communities,IF2-JAWA,0.8845671267252195,1.6863004113688818,64.0
2,communities,IF2-JAWAmm,0.9134253450439147,1.8203423589207854,64.0
2,communities,IF3-jackknife,0.9410288582183187,2.4111990113480024,64.0
2,communities,IF3-jackknife-mm,0.9548306148055207,2.689046524616492,64.0
2,communities,IF3-jackknife+,0.9385194479297365,2.37219981378,64.0
2,communities,IF3-JAWA,0.8933500627352572,1.747104310842791,64.0
2,communities,IF3-JAWAmm,0.9159347553324969,1.888096686988764,64.0
3,communities,IF1-jackknife,0.6925972396486826,2.1635550374217,64.0
3,communities,IF1-jackknife-mm,0.7314930991217063,2.4162013485275136,64.0
3,communities,IF1-jackknife+,0.6913425345043914,2.1256433603979796,64.0
3,communities,IF1-JAWA,0.8983688833124216,3.379927440136051,64.0
3,communities,IF1-JAWA,0.8983688833124216,3.379927440136051,64.0
3,communities,IF2-jackknife,0.7001254705144291,2.2419163315770776,64.0
3,communities,IF2-jackknife-mm,0.7741530740276035,2.5785333030802384,64.0
3,communities,IF2-jackknife+,0.7013801756587202,2.2532665498112516,64.0
3,communities,IF2-JAWA,0.918444165621079,3.7759151132891238,64.0
3,communities,IF2-JAWAmm,0.9385194479297365,3.9807557949546384,64.0
3,communities,IF3-jackknife,0.7013801756587202,2.257146772558965,64.0
3,communities,IF3-jackknife-mm,0.7816813048933501,2.6285850790271565,64.0
3,communities,IF3-jackknife+,0.7063989962358845,2.2965212717434946,64.0
3,communities,IF3-JAWA,0.9247176913425345,3.8859312816055143,64.0
3,communities,IF3-JAWAmm,0.9573400250941029,4.146548190930842,64.0
