itrial,dataset,method,coverage,width,L2_lambda
0,superconduct,IF1-jackknife,0.86,2.5362466022785393,96.0
0,superconduct,IF1-jackknife-mm,0.8975,2.8073868937147815,96.0
0,superconduct,IF1-jackknife+,0.865,2.542714551393687,96.0
0,superconduct,IF1-JAWA,0.8575,2.4290555717028877,96.0
0,superconduct,IF1-JAWA,0.8575,2.4290555717028877,96.0
0,superconduct,IF2-jackknife,0.8725,2.708558493244096,96.0
0,superconduct,IF2-jackknife-mm,0.915,3.0621349589827354,96.0
0,superconduct,IF2-jackknife+,0.87125,2.702230042546392,96.0
0,superconduct,IF2-JAWA,0.86125,2.6065092646256147,96.0
0,superconduct,IF2-JAWAmm,0.9025,2.9030715119609254,96.0
0,superconduct,IF3-jackknife,0.87375,2.738611636199881,96.0
0,superconduct,IF3-jackknife-mm,0.91625,3.121917933158443,96.0
0,superconduct,IF3-jackknife+,0.87625,2.7511039014366596,96.0
0,superconduct,IF3-JAWA,0.8725,2.6506623395817686,96.0
0,superconduct,IF3-JAWAmm,0.9025,2.950954963910803,96.0
1,superconduct,IF1-jackknife,0.85375,2.4717378807014625,96.0
1,superconduct,IF1-jackknife-mm,0.87625,2.6868668161433034,96.0
1,superconduct,IF1-jackknife+,0.85375,2.4717378807014625,96.0
1,superconduct,IF1-JAWA,0.865,2.6241639348228167,96.0
1,superconduct,IF1-JAWA,0.865,2.6241639348228167,96.0
1,superconduct,IF2-jackknife,0.86,2.5277731522753455,96.0
1,superconduct,IF2-jackknife-mm,0.88625,2.79689874796259,96.0
1,superconduct,IF2-jackknife+,0.85875,2.546219760602966,96.0
1,superconduct,IF2-JAWA,0.895,2.9513051940079214,96.0
1,superconduct,IF2-JAWAmm,0.925,3.196741276220461,96.0
1,superconduct,IF3-jackknife,0.86,2.5724171646382556,96.0
1,superconduct,IF3-jackknife-mm,0.89375,2.868034120187863,96.0
1,superconduct,IF3-jackknife+,0.86,2.5756154277436725,96.0
1,superconduct,IF3-JAWA,0.9125,3.12570549934541,96.0
1,superconduct,IF3-JAWAmm,0.925,3.3978473609588438,96.0
2,superconduct,IF1-jackknife,0.79375,2.3150903796669304,96.0
2,superconduct,IF1-jackknife-mm,0.825,2.5403700157648537,96.0
2,superconduct,IF1-jackknife+,0.79625,2.317620173499131,96.0
2,superconduct,IF1-JAWA,0.78875,2.2679719430754823,96.0
2,superconduct,IF1-JAWA,0.78875,2.2679719430754823,96.0
2,superconduct,IF2-jackknife,0.80875,2.390916211508647,96.0
2,superconduct,IF2-jackknife-mm,0.83375,2.689048472486925,96.0
2,superconduct,IF2-jackknife+,0.80375,2.392324427697615,96.0
2,superconduct,IF2-JAWA,0.81375,2.4422411224826623,96.0
2,superconduct,IF2-JAWAmm,0.835,2.717736434383868,96.0
2,superconduct,IF3-jackknife,0.80875,2.3925201248797663,96.0
2,superconduct,IF3-jackknife-mm,0.83375,2.7088178754522367,96.0
2,superconduct,IF3-jackknife+,0.81375,2.419340681227019,96.0
2,superconduct,IF3-JAWA,0.8275,2.5799266629666544,96.0
