itrial,dataset,method,coverage,width,L2_lambda
0,wave,IF1-jackknife,0.8975,0.11665785722428224,4.0
0,wave,IF1-jackknife-mm,0.90875,0.12994729586686793,4.0
0,wave,IF1-jackknife+,0.89875,0.115541122504359,4.0
0,wave,IF1-JAWA,0.86,0.07640602327648564,4.0
0,wave,IF1-JAWA,0.86,0.07640602327648564,4.0
0,wave,IF2-jackknife,0.9025,0.12041719143776941,4.0
0,wave,IF2-jackknife-mm,0.915,0.1368328496902833,4.0
0,wave,IF2-jackknife+,0.905,0.11980715442903611,4.0
0,wave,IF2-JAWA,0.8675,0.08092653314861487,4.0
0,wave,IF2-JAWAmm,0.885,0.09431428756785398,4.0
0,wave,IF3-jackknife,0.90375,0.12181108437206944,4.0
0,wave,IF3-jackknife-mm,0.92125,0.1390805322571162,4.0
0,wave,IF3-jackknife+,0.905,0.12072425484204952,4.0
0,wave,IF3-JAWA,0.8675,0.08236525306233625,4.0
0,wave,IF3-JAWAmm,0.885,0.0967508183639273,4.0
1,wave,IF1-jackknife,0.9075,0.10087891021962037,4.0
1,wave,IF1-jackknife-mm,0.9175,0.1147341616730585,4.0
1,wave,IF1-jackknife+,0.905,0.1016725866135405,4.0
1,wave,IF1-JAWA,0.95375,0.2415685207298809,4.0
1,wave,IF1-JAWA,0.95375,0.2415685207298809,4.0
1,wave,IF2-jackknife,0.9125,0.10591184038009338,4.0
1,wave,IF2-jackknife-mm,0.9175,0.12294404866376366,4.0
1,wave,IF2-jackknife+,0.90875,0.10600819929250949,4.0
1,wave,IF2-JAWA,0.95625,0.2502813439260607,4.0
1,wave,IF2-JAWAmm,0.95625,0.25600268188946407,4.0
1,wave,IF3-jackknife,0.9125,0.10718590836965491,4.0
1,wave,IF3-jackknife-mm,0.9175,0.12490373155897866,4.0
1,wave,IF3-jackknife+,0.91,0.10718590836965491,4.0
1,wave,IF3-JAWA,0.95625,0.2524560477240179,4.0
1,wave,IF3-JAWAmm,0.95625,0.2579956903990258,4.0
2,wave,IF1-jackknife,0.8925,0.09802963899772132,4.0
2,wave,IF1-jackknife-mm,0.90625,0.11218735000525787,4.0
2,wave,IF1-jackknife+,0.89375,0.09841073965525196,4.0
2,wave,IF1-JAWA,0.9275,0.1432190788926999,4.0
2,wave,IF1-JAWA,0.9275,0.1432190788926999,4.0
2,wave,IF2-jackknife,0.9,0.10307894666074802,4.0
2,wave,IF2-jackknife-mm,0.915,0.12033518995857823,4.0
2,wave,IF2-jackknife+,0.9025,0.10321585547065065,4.0
2,wave,IF2-JAWA,0.93,0.14944056961695434,4.0
2,wave,IF2-JAWAmm,0.9275,0.15353033176028202,4.0
2,wave,IF3-jackknife,0.905,0.10404854524691665,4.0
2,wave,IF3-jackknife-mm,0.91625,0.12215629852454,4.0
2,wave,IF3-jackknife+,0.90375,0.10437875217003073,4.0
2,wave,IF3-JAWA,0.93,0.1510126781260563,4.0
