itrial,dataset,method,coverage,width,L2_lambda
0,wine,IF1-jackknife,0.8714524207011686,2.866716197952056,8.0
0,wine,IF1-jackknife-mm,0.8964941569282137,3.0013742518256707,8.0
0,wine,IF1-jackknife+,0.8714524207011686,2.866716197952056,8.0
0,wine,IF1-JAWA,0.9565943238731218,3.197900221999598,8.0
0,wine,IF1-JAWA,0.9565943238731218,3.197900221999598,8.0
0,wine,IF2-jackknife,0.8714524207011686,2.8783975428692394,8.0
0,wine,IF2-jackknife-mm,0.9348914858096828,3.2189635841601696,8.0
0,wine,IF2-jackknife+,0.8864774624373957,2.909880448412156,8.0
0,wine,IF2-JAWA,0.9599332220367279,3.225710420925246,8.0
0,wine,IF2-JAWAmm,0.9532554257095158,3.467904232446992,8.0
0,wine,IF3-jackknife,0.8848080133555927,2.943819079195596,8.0
0,wine,IF3-jackknife-mm,0.9632721202003339,4.959261236558516,8.0
0,wine,IF3-jackknife+,0.8848080133555927,2.923642500170991,8.0
0,wine,IF3-JAWA,0.9565943238731218,3.1952999454686117,8.0
0,wine,IF3-JAWAmm,0.9649415692821369,5.057965929257594,8.0
1,wine,IF1-jackknife,0.7095158597662772,2.2430671482804074,8.0
1,wine,IF1-jackknife-mm,0.7746243739565943,2.3859498444622282,8.0
1,wine,IF1-jackknife+,0.7045075125208681,2.2402468464388408,8.0
1,wine,IF1-JAWA,0.9365609348914858,4.018986449593473,8.0
1,wine,IF1-JAWA,0.9365609348914858,4.018986449593473,8.0
1,wine,IF2-jackknife,0.7095158597662772,2.2508906656492407,8.0
1,wine,IF2-jackknife-mm,0.7813021702838063,2.413931841149799,8.0
1,wine,IF2-jackknife+,0.7095158597662772,2.2508906656492407,8.0
1,wine,IF2-JAWA,0.9449081803005008,4.173930635801854,8.0
1,wine,IF2-JAWAmm,0.9232053422370617,3.9645646035250506,8.0
1,wine,IF3-jackknife,0.7095158597662772,2.25067054603912,8.0
1,wine,IF3-jackknife-mm,0.7846410684474123,2.4092770108849235,8.0
1,wine,IF3-jackknife+,0.7095158597662772,2.2507929154024904,8.0
1,wine,IF3-JAWA,0.9449081803005008,4.172795677926997,8.0
1,wine,IF3-JAWAmm,0.9232053422370617,3.9628137938503247,8.0
2,wine,IF1-jackknife,0.8497495826377296,2.555919512561489,8.0
2,wine,IF1-jackknife-mm,0.8514190317195326,2.7130194474413196,8.0
2,wine,IF1-jackknife+,0.8497495826377296,2.5779773721302672,8.0
2,wine,IF1-JAWA,0.8964941569282137,3.075241649791169,8.0
2,wine,IF1-JAWA,0.8964941569282137,3.075241649791169,8.0
2,wine,IF2-jackknife,0.8497495826377296,2.572181329712847,8.0
2,wine,IF2-jackknife-mm,0.8547579298831386,2.7304075408628554,8.0
2,wine,IF2-jackknife+,0.8497495826377296,2.5993793564888787,8.0
2,wine,IF2-JAWA,0.9115191986644408,3.15206105295356,8.0
2,wine,IF2-JAWAmm,0.8831385642737897,3.097105847449221,8.0
2,wine,IF3-jackknife,0.8497495826377296,2.5589478719390986,8.0
2,wine,IF3-jackknife-mm,0.8614357262103506,2.78559594946783,8.0
2,wine,IF3-jackknife+,0.8497495826377296,2.569876182110551,8.0
2,wine,IF3-JAWA,0.9048414023372288,3.1425173581141657,8.0
2,wine,IF3-JAWAmm,0.8831385642737897,3.149315102576065,8.0
3,wine,IF1-jackknife,0.8864774624373957,2.8064383618077677,8.0
3,wine,IF1-jackknife-mm,0.9332220367278798,2.966726466628389,8.0
3,wine,IF1-jackknife+,0.8848080133555927,2.82001513278606,8.0
3,wine,IF1-JAWA,0.9749582637729549,3.520784680230285,8.0
3,wine,IF1-JAWA,0.9749582637729549,3.520784680230285,8.0
3,wine,IF2-jackknife,0.8881469115191987,2.854992525287922,8.0
3,wine,IF2-jackknife-mm,0.9532554257095158,3.3697153711940317,8.0
3,wine,IF2-jackknife+,0.8864774624373957,2.837332102041281,8.0
3,wine,IF2-JAWA,0.9699499165275459,3.508142431642871,8.0
3,wine,IF2-JAWAmm,0.9833055091819699,3.968661368536663,8.0
3,wine,IF3-jackknife,0.8881469115191987,2.861794252103355,8.0
3,wine,IF3-jackknife-mm,0.9666110183639399,10.91081963536829,8.0
3,wine,IF3-jackknife+,0.8864774624373957,2.872009978345263,8.0
3,wine,IF3-JAWA,0.9465776293823038,3.2332514200068707,8.0
3,wine,IF3-JAWAmm,0.9749582637729549,11.169065825832588,8.0
4,wine,IF1-jackknife,0.8063439065108514,2.375880328733893,8.0
4,wine,IF1-jackknife-mm,0.8297161936560935,2.501350754486821,8.0
4,wine,IF1-jackknife+,0.8096828046744574,2.393284436929185,8.0
4,wine,IF1-JAWA,0.8414023372287145,2.3798425894074575,8.0
4,wine,IF1-JAWA,0.8414023372287145,2.3798425894074575,8.0
4,wine,IF2-jackknife,0.8063439065108514,2.3730437441639625,8.0
4,wine,IF2-jackknife-mm,0.8464106844741235,2.747069322805128,8.0
4,wine,IF2-jackknife+,0.8063439065108514,2.382651182260778,8.0
4,wine,IF2-JAWA,0.8397328881469115,2.3730437441639625,8.0
4,wine,IF2-JAWAmm,0.8430717863105175,2.6891251509812797,8.0
4,wine,IF3-jackknife,0.8063439065108514,2.372885813925956,8.0
4,wine,IF3-jackknife-mm,0.9248747913188647,4.650078560901278,8.0
4,wine,IF3-jackknife+,0.8163606010016694,2.4129507892454987,8.0
4,wine,IF3-JAWA,0.8447412353923205,2.3880077837451323,8.0
4,wine,IF3-JAWAmm,0.9248747913188647,4.593048339859786,8.0
5,wine,IF1-jackknife,0.8781302170283807,2.7433634173475525,8.0
5,wine,IF1-jackknife-mm,0.9232053422370617,2.922271805657537,8.0
5,wine,IF1-jackknife+,0.8797996661101837,2.739333781542952,8.0
5,wine,IF1-JAWA,0.9398998330550918,2.8279075392877226,8.0
5,wine,IF1-JAWA,0.9398998330550918,2.8279075392877226,8.0
5,wine,IF2-jackknife,0.8848080133555927,2.795245576968764,8.0
5,wine,IF2-jackknife-mm,0.9582637729549248,4.1461697717091806,8.0
5,wine,IF2-jackknife+,0.8864774624373957,2.791719194773278,8.0
5,wine,IF2-JAWA,0.9432387312186978,2.8872542160502657,8.0
5,wine,IF2-JAWAmm,0.9582637729549248,4.164555695497904,8.0
5,wine,IF3-jackknife,0.8848080133555927,2.8010693256369414,8.0
5,wine,IF3-jackknife-mm,0.993322203672788,12.601169097189782,8.0
5,wine,IF3-jackknife+,0.8864774624373957,2.8010693256369406,8.0
5,wine,IF3-JAWA,0.9499165275459098,2.899083785727303,8.0
5,wine,IF3-JAWAmm,0.993322203672788,12.615535201776112,8.0
6,wine,IF1-jackknife,0.9015025041736227,2.6931537192361716,8.0
6,wine,IF1-jackknife-mm,0.9432387312186978,2.8293913985520405,8.0
6,wine,IF1-jackknife+,0.9081803005008348,2.6931537192361716,8.0
6,wine,IF1-JAWA,0.9666110183639399,3.9333395856409608,8.0
6,wine,IF1-JAWA,0.9666110183639399,3.9333395856409608,8.0
6,wine,IF2-jackknife,0.9215358931552587,2.7706737798773746,8.0
6,wine,IF2-jackknife-mm,0.9782971619365609,3.3109435943548067,8.0
6,wine,IF2-jackknife+,0.9248747913188647,2.774559778924397,8.0
6,wine,IF2-JAWA,0.9816360601001669,3.9921041940113833,8.0
6,wine,IF2-JAWAmm,0.993322203672788,4.484139748449447,8.0
6,wine,IF3-jackknife,0.9532554257095158,3.2397873498317287,8.0
6,wine,IF3-jackknife-mm,0.996661101836394,50.07964211878356,8.0
6,wine,IF3-jackknife+,0.9348914858096828,3.1587943470104656,8.0
6,wine,IF3-JAWA,0.9782971619365609,3.6673895668283496,8.0
