itrial,dataset,muh_fun,method,coverage,width
0,airfoil,neural_net,naive,0.022256331542594012,12.88966510012969
0,airfoil,neural_net,jackknife,0.023791250959324637,14.803507087849141
0,airfoil,neural_net,jackknife+,0.9439754412893323,15.443011521363005
0,airfoil,neural_net,jackknife-mm,0.9831158864159631,22.42955648165453
1,airfoil,neural_net,naive,0.02532617037605526,13.410316426082318
1,airfoil,neural_net,jackknife,0.02532617037605526,13.637328713232876
1,airfoil,neural_net,jackknife+,0.9716039907904835,16.450988934860035
1,airfoil,neural_net,jackknife-mm,0.9953952417498081,23.222566771510586
2,airfoil,neural_net,naive,0.01918649270913277,13.546763493069733
2,airfoil,neural_net,jackknife,0.019953952417498082,13.848135359160693
2,airfoil,neural_net,jackknife+,0.9363008442056792,15.003215918321132
2,airfoil,neural_net,jackknife-mm,0.9800460475825019,20.90888369041943
3,airfoil,neural_net,naive,0.022256331542594012,11.69978427033385
3,airfoil,neural_net,jackknife,0.02916346891788181,16.01257893040858
3,airfoil,neural_net,jackknife+,0.9547198772064467,16.370970990036326
3,airfoil,neural_net,jackknife-mm,0.9869531849577897,22.313375617772266
4,airfoil,neural_net,naive,0.026093630084420567,11.740344444024288
4,airfoil,neural_net,jackknife,0.03069838833461243,14.457036139284696
4,airfoil,neural_net,jackknife+,0.930928626247122,14.773973243055408
4,airfoil,neural_net,jackknife-mm,0.9846508058326938,22.355371887643003
5,airfoil,neural_net,naive,0.02916346891788181,13.503080355864427
5,airfoil,neural_net,jackknife,0.031465848042977744,14.268518070526795
5,airfoil,neural_net,jackknife+,0.9524174980813507,16.93379872948995
5,airfoil,neural_net,jackknife-mm,0.9923254029163469,23.612716632609988
6,airfoil,neural_net,naive,0.02072141212586339,10.841929562241972
6,airfoil,neural_net,jackknife,0.024558710667689946,14.96762370121138
6,airfoil,neural_net,jackknife+,0.945510360706063,16.249015702641202
6,airfoil,neural_net,jackknife-mm,0.9892555640828856,23.11364974232842
7,airfoil,neural_net,naive,0.02916346891788181,15.902477337383061
7,airfoil,neural_net,jackknife,0.031465848042977744,16.612209168453575
7,airfoil,neural_net,jackknife+,0.9646968534151957,17.383964728004898
7,airfoil,neural_net,jackknife-mm,0.9946277820414429,25.121758490110338
8,airfoil,neural_net,naive,0.01918649270913277,12.10004454240402
8,airfoil,neural_net,jackknife,0.02532617037605526,15.963122826867505
8,airfoil,neural_net,jackknife+,0.9462778204144282,15.963122826867519
8,airfoil,neural_net,jackknife-mm,0.9877206446661551,24.408189887824307
9,airfoil,neural_net,naive,0.02532617037605526,13.921084485346285
9,airfoil,neural_net,jackknife,0.023791250959324637,12.816559477173797
9,airfoil,neural_net,jackknife+,0.9217191097467383,14.100939709950097
9,airfoil,neural_net,jackknife-mm,0.9723714504988488,18.330824227616944
10,airfoil,neural_net,naive,0.024558710667689946,13.826373063087885
10,airfoil,neural_net,jackknife,0.02532617037605526,16.794609075117194
10,airfoil,neural_net,jackknife+,0.967766692248657,17.296575149195135
10,airfoil,neural_net,jackknife-mm,0.9938603223330775,25.28174134648988
11,airfoil,neural_net,naive,0.019953952417498082,12.517449892022483
11,airfoil,neural_net,jackknife,0.022256331542594012,14.093602860411409
11,airfoil,neural_net,jackknife+,0.9401381427475057,15.980301186641313
11,airfoil,neural_net,jackknife-mm,0.9815809669992326,23.302187805714325
12,airfoil,neural_net,naive,0.01688411358403684,8.37617537807472
12,airfoil,neural_net,jackknife,0.019953952417498082,11.662787905130244
12,airfoil,neural_net,jackknife+,0.9079048349961627,13.122822847951369
12,airfoil,neural_net,jackknife-mm,0.9800460475825019,21.808851531823052
13,airfoil,neural_net,naive,0.013046815042210284,13.62510464371772
13,airfoil,neural_net,jackknife,0.016116653875671526,15.538522278635867
13,airfoil,neural_net,jackknife+,0.9539524174980814,16.51034102294446
13,airfoil,neural_net,jackknife-mm,0.9938603223330775,23.079461710478284
14,airfoil,neural_net,naive,0.019953952417498082,10.37736561848061
14,airfoil,neural_net,jackknife,0.019953952417498082,10.17370161400595
14,airfoil,neural_net,jackknife+,0.8894858019953953,12.384793184607474
14,airfoil,neural_net,jackknife-mm,0.9631619339984651,17.128657336469203
15,airfoil,neural_net,naive,0.02762854950115119,13.73267192045131
15,airfoil,neural_net,jackknife,0.03300076745970836,15.565773082310471
15,airfoil,neural_net,jackknife+,0.9516500383729855,15.70342954848752
15,airfoil,neural_net,jackknife-mm,0.9946277820414429,22.666190181144373
16,airfoil,neural_net,naive,0.02762854950115119,13.725639633469655
16,airfoil,neural_net,jackknife,0.02762854950115119,13.394051624592862
16,airfoil,neural_net,jackknife+,0.9355333844973139,14.807603618110221
