itrial,dataset,muh_fun,method,coverage,width
0,airfoil,random_forest,naive,0.010744435917114352,4.656100000000038
0,airfoil,random_forest,jackknife,0.029930928626247123,12.505399999999952
0,airfoil,random_forest,jackknife+,0.9324635456638527,12.227200000000053
0,airfoil,random_forest,jackknife-mm,0.9762087490406753,16.41599999999994
1,airfoil,random_forest,naive,0.013814274750575594,5.90910000000008
1,airfoil,random_forest,jackknife,0.023023791250959325,12.066399999999987
1,airfoil,random_forest,jackknife+,0.9194167306216423,12.598549999999975
1,airfoil,random_forest,jackknife-mm,0.9746738296239448,15.853324999999984
2,airfoil,random_forest,naive,0.009976976208749041,5.670300000000026
2,airfoil,random_forest,jackknife,0.01841903300076746,10.703800000000058
2,airfoil,random_forest,jackknife+,0.9117421335379893,11.318199999999862
2,airfoil,random_forest,jackknife-mm,0.9731389102072141,14.564700000000059
3,airfoil,random_forest,naive,0.013814274750575594,5.069500000000005
3,airfoil,random_forest,jackknife,0.02916346891788181,10.993850000000009
3,airfoil,random_forest,jackknife+,0.9186492709132771,11.379125000000016
3,airfoil,random_forest,jackknife-mm,0.9669992325402916,14.557950000000048
4,airfoil,random_forest,naive,0.010744435917114352,5.252200000000016
4,airfoil,random_forest,jackknife,0.02072141212586339,10.254099999999966
4,airfoil,random_forest,jackknife+,0.906369915579432,10.965099999999993
4,airfoil,random_forest,jackknife-mm,0.9639293937068304,14.230624999999932
5,airfoil,random_forest,naive,0.013046815042210284,4.566400000000016
5,airfoil,random_forest,jackknife,0.023791250959324637,11.451500000000038
5,airfoil,random_forest,jackknife+,0.9201841903300076,11.811650000000057
5,airfoil,random_forest,jackknife-mm,0.97544128933231,15.125050000000002
6,airfoil,random_forest,naive,0.013814274750575594,5.443799999999953
6,airfoil,random_forest,jackknife,0.0283960092095165,11.986099999999936
6,airfoil,random_forest,jackknife+,0.9163468917881811,12.419699999999963
6,airfoil,random_forest,jackknife-mm,0.9838833461243285,15.652524999999898
7,airfoil,random_forest,naive,0.016116653875671526,6.646400000000028
7,airfoil,random_forest,jackknife,0.02762854950115119,14.253199999999993
7,airfoil,random_forest,jackknife+,0.9662317728319263,14.377500000000026
7,airfoil,random_forest,jackknife-mm,0.9969301611665388,18.149374999999964
8,airfoil,random_forest,naive,0.011511895625479662,5.008799999999951
8,airfoil,random_forest,jackknife,0.02532617037605526,11.558300000000031
8,airfoil,random_forest,jackknife+,0.9355333844973139,12.551024999999996
8,airfoil,random_forest,jackknife-mm,0.9762087490406753,15.32200000000006
9,airfoil,random_forest,naive,0.015349194167306216,5.348999999999961
9,airfoil,random_forest,jackknife,0.02762854950115119,11.808600000000013
9,airfoil,random_forest,jackknife+,0.9524174980813507,12.420500000000004
9,airfoil,random_forest,jackknife-mm,0.9846508058326938,15.450650000000024
10,airfoil,random_forest,naive,0.017651573292402148,5.499300000000034
10,airfoil,random_forest,jackknife,0.03223330775134305,15.128000000000014
10,airfoil,random_forest,jackknife+,0.9631619339984651,14.072849999999946
10,airfoil,random_forest,jackknife-mm,0.990023023791251,18.91185000000003
11,airfoil,random_forest,naive,0.013814274750575594,6.42289999999997
11,airfoil,random_forest,jackknife,0.022256331542594012,13.294649999999962
11,airfoil,random_forest,jackknife+,0.9370683039140445,13.294649999999947
11,airfoil,random_forest,jackknife-mm,0.9823484267075978,16.843000000000004
12,airfoil,random_forest,naive,0.010744435917114352,4.264700000000005
12,airfoil,random_forest,jackknife,0.02532617037605526,12.574399999999997
12,airfoil,random_forest,jackknife+,0.9270913277052955,12.468100000000021
12,airfoil,random_forest,jackknife-mm,0.977743668457406,16.4405
13,airfoil,random_forest,naive,0.013046815042210284,5.07729999999998
13,airfoil,random_forest,jackknife,0.017651573292402148,11.437400000000025
13,airfoil,random_forest,jackknife+,0.9125095932463546,11.27864999999997
13,airfoil,random_forest,jackknife-mm,0.9808135072908672,14.99190000000003
14,airfoil,random_forest,naive,0.014581734458940905,4.993100000000055
14,airfoil,random_forest,jackknife,0.026093630084420567,14.89779999999999
14,airfoil,random_forest,jackknife+,0.9646968534151957,14.378625000000042
14,airfoil,random_forest,jackknife-mm,0.990023023791251,18.4709
15,airfoil,random_forest,naive,0.010744435917114352,4.802949999999981
15,airfoil,random_forest,jackknife,0.023023791250959325,11.200000000000074
15,airfoil,random_forest,jackknife+,0.9347659247889486,11.921575000000004
15,airfoil,random_forest,jackknife-mm,0.9785111281657713,15.24845000000009
16,airfoil,random_forest,naive,0.0061396776669224865,5.016800000000046
16,airfoil,random_forest,jackknife,0.021488871834228703,11.91700000000003
