itrial,dataset,muh_fun,method,coverage,width
0,wave,neural_net,naive,0.7822222222222223,98756.19079568982
0,wave,neural_net,jackknife,0.8322222222222222,105828.78753623599
0,wave,neural_net,jackknife+,0.93,118683.90719778661
0,wave,neural_net,jackknife-mm,1.0,199543.39945043228
0,wave,neural_net,CV+,0.8855555555555555,109226.15613048477
0,wave,neural_net,split,0.8833333333333333,115022.81863055192
0,wave,neural_net,JAW_oracle,0.97,161479.86434249324
0,wave,neural_net,JAW_lr,0.9555555555555556,134078.40300510195
0,wave,neural_net,JAW_rf,0.9511111111111111,128271.46213380608
0,wave,neural_net,JAWmm_oracle,1.0,229622.8679159896
0,wave,neural_net,JAWmm_lr,1.0,199543.39945043228
0,wave,neural_net,JAWmm_rf,1.0,204222.7321741355
1,wave,neural_net,naive,0.9,108706.95453998726
1,wave,neural_net,jackknife,0.9,106831.7120105396
1,wave,neural_net,jackknife+,0.9588888888888889,121101.27506693546
1,wave,neural_net,jackknife-mm,1.0,204781.05972369155
1,wave,neural_net,CV+,0.9611111111111111,120900.82539295952
1,wave,neural_net,split,0.9055555555555556,114901.95398986153
1,wave,neural_net,JAW_oracle,0.9688888888888889,119474.85668887524
1,wave,neural_net,JAW_lr,0.9711111111111111,120315.0977593849
1,wave,neural_net,JAW_rf,0.9744444444444444,124938.07891697029
1,wave,neural_net,JAWmm_oracle,1.0,213416.46228938224
1,wave,neural_net,JAWmm_lr,1.0,213416.46228938224
1,wave,neural_net,JAWmm_rf,1.0,204781.05972369155
2,wave,neural_net,naive,0.8377777777777777,103692.06817470584
2,wave,neural_net,jackknife,0.8022222222222222,97228.57334506093
2,wave,neural_net,jackknife+,0.8844444444444445,110030.56177209027
2,wave,neural_net,jackknife-mm,1.0,192755.8474006548
2,wave,neural_net,CV+,0.89,109851.957051354
2,wave,neural_net,split,0.7922222222222223,88382.15240228828
2,wave,neural_net,JAW_oracle,0.9411111111111111,136786.2946990491
2,wave,neural_net,JAW_lr,0.9477777777777778,137087.17177747353
2,wave,neural_net,JAW_rf,0.9211111111111111,119289.2735417157
2,wave,neural_net,JAWmm_oracle,1.0,230280.1801566023
2,wave,neural_net,JAWmm_lr,1.0,230280.1801566023
2,wave,neural_net,JAWmm_rf,1.0,194606.60867860704
3,wave,neural_net,naive,0.8944444444444445,105242.42651713267
3,wave,neural_net,jackknife,0.9055555555555556,109577.88901756704
3,wave,neural_net,jackknife+,0.9533333333333334,114959.74092454393
3,wave,neural_net,jackknife-mm,1.0,203937.49029190233
3,wave,neural_net,CV+,0.9277777777777778,110310.89489581087
3,wave,neural_net,split,0.8688888888888889,106062.88637457462
3,wave,neural_net,JAW_oracle,0.9888888888888889,168466.75429770316
3,wave,neural_net,JAW_lr,0.9822222222222222,140606.39340802724
3,wave,neural_net,JAW_rf,0.9666666666666667,120669.36452049809
3,wave,neural_net,JAWmm_oracle,1.0,246421.67457955284
3,wave,neural_net,JAWmm_lr,1.0,220267.0539502767
3,wave,neural_net,JAWmm_rf,1.0,204575.4304884686
4,wave,neural_net,naive,0.8933333333333333,101372.7468539942
4,wave,neural_net,jackknife,0.9011111111111111,105533.44092637626
4,wave,neural_net,jackknife+,0.94,115652.47035938897
4,wave,neural_net,jackknife-mm,0.9988888888888889,192435.17051723646
4,wave,neural_net,CV+,0.9344444444444444,111452.17637956166
4,wave,neural_net,split,0.8433333333333334,94011.50429908885
4,wave,neural_net,JAW_oracle,0.9855555555555555,150905.6521602102
4,wave,neural_net,JAW_lr,0.9544444444444444,123127.54208678112
4,wave,neural_net,JAW_rf,0.9511111111111111,120592.7054225991
4,wave,neural_net,JAWmm_oracle,0.9988888888888889,235722.52807131782
4,wave,neural_net,JAWmm_lr,0.9988888888888889,192435.17051723646
4,wave,neural_net,JAWmm_rf,0.9988888888888889,192435.17051723646
5,wave,neural_net,naive,0.8633333333333333,107438.88772105286
5,wave,neural_net,jackknife,0.9033333333333333,120829.80971047655
5,wave,neural_net,jackknife+,0.9655555555555555,129987.06388789252
5,wave,neural_net,jackknife-mm,1.0,217716.8741465488
5,wave,neural_net,CV+,0.9555555555555556,127362.09466955636
5,wave,neural_net,split,0.8944444444444445,123353.66813959042
5,wave,neural_net,JAW_oracle,0.9533333333333334,125160.3769372392
5,wave,neural_net,JAW_lr,0.94,119582.51967434876
5,wave,neural_net,JAW_rf,0.9666666666666667,132176.54423549585
5,wave,neural_net,JAWmm_oracle,0.9988888888888889,202371.2299866972
5,wave,neural_net,JAWmm_lr,0.9988888888888889,202371.2299866972
5,wave,neural_net,JAWmm_rf,1.0,214360.37790272362
6,wave,neural_net,naive,0.8644444444444445,89756.4792528064
6,wave,neural_net,jackknife,0.9266666666666666,105138.07744211098
6,wave,neural_net,jackknife+,0.9655555555555555,113223.6728255524
6,wave,neural_net,jackknife-mm,1.0,192968.15577677405
6,wave,neural_net,CV+,0.9344444444444444,107351.16767849331
6,wave,neural_net,split,0.8422222222222222,93823.39839532692
6,wave,neural_net,JAW_oracle,0.9255555555555556,105488.15626938874
6,wave,neural_net,JAW_lr,0.9244444444444444,108842.51796061278
6,wave,neural_net,JAW_rf,0.9655555555555555,114260.7142577226
6,wave,neural_net,JAWmm_oracle,1.0,185980.1230040933
6,wave,neural_net,JAWmm_lr,1.0,185980.1230040933
6,wave,neural_net,JAWmm_rf,1.0,191661.15642177826
7,wave,neural_net,naive,0.8366666666666667,97485.51863856055
7,wave,neural_net,jackknife,0.8833333333333333,106983.82958790706
7,wave,neural_net,jackknife+,0.9377777777777778,113692.95914445946
7,wave,neural_net,jackknife-mm,1.0,194852.9638732986
7,wave,neural_net,CV+,0.9177777777777778,107789.60563438991
7,wave,neural_net,split,0.8877777777777778,103659.64859803207
7,wave,neural_net,JAW_oracle,0.9533333333333334,112332.70507187326
7,wave,neural_net,JAW_lr,0.9611111111111111,120690.81786258263
7,wave,neural_net,JAW_rf,0.9488888888888889,115507.92228786531
7,wave,neural_net,JAWmm_oracle,1.0,184868.82647225517
7,wave,neural_net,JAWmm_lr,1.0,191243.96998524782
7,wave,neural_net,JAWmm_rf,1.0,191243.96998524782
8,wave,neural_net,naive,0.8955555555555555,100508.15083932225
8,wave,neural_net,jackknife,0.9166666666666666,106805.60283078486
8,wave,neural_net,jackknife+,0.9611111111111111,118799.74396434799
8,wave,neural_net,jackknife-mm,1.0,200623.13734769542
8,wave,neural_net,CV+,0.9522222222222222,117991.49731185706
8,wave,neural_net,split,0.8966666666666666,96825.19839763874
8,wave,neural_net,JAW_oracle,0.9611111111111111,125263.46748043713
8,wave,neural_net,JAW_lr,0.9711111111111111,131298.45459195715
8,wave,neural_net,JAW_rf,0.9666666666666667,122088.91295077174
8,wave,neural_net,JAWmm_oracle,1.0,206837.8216691045
8,wave,neural_net,JAWmm_lr,1.0,206837.8216691045
8,wave,neural_net,JAWmm_rf,1.0,205133.91206002096
9,wave,neural_net,naive,0.8566666666666667,97609.30368865374
9,wave,neural_net,jackknife,0.9111111111111111,117983.73834255012
9,wave,neural_net,jackknife+,0.9644444444444444,125232.72974648257
9,wave,neural_net,jackknife-mm,1.0,216323.9458315008
9,wave,neural_net,CV+,0.9377777777777778,118360.58971862658
9,wave,neural_net,split,0.8166666666666667,93364.19549382571
9,wave,neural_net,JAW_oracle,1.0,inf
9,wave,neural_net,JAW_lr,0.9933333333333333,205798.3244326692
9,wave,neural_net,JAW_rf,0.9811111111111112,137515.04516167473
9,wave,neural_net,JAWmm_oracle,1.0,359395.0881087383
9,wave,neural_net,JAWmm_lr,1.0,280925.52389673505
9,wave,neural_net,JAWmm_rf,1.0,224119.54250943277
10,wave,neural_net,naive,0.8966666666666666,112883.9432912753
10,wave,neural_net,jackknife,0.8911111111111111,110608.13327238755
10,wave,neural_net,jackknife+,0.95,116219.44073863758
10,wave,neural_net,jackknife-mm,1.0,201611.64535689645
10,wave,neural_net,CV+,0.9377777777777778,107932.01384987216
10,wave,neural_net,split,0.8755555555555555,98676.22436298989
10,wave,neural_net,JAW_oracle,0.9577777777777777,112501.98313735751
10,wave,neural_net,JAW_lr,0.9811111111111112,139843.52164957533
10,wave,neural_net,JAW_rf,0.9633333333333334,120155.36346877296
10,wave,neural_net,JAWmm_oracle,1.0,193081.24287809024
10,wave,neural_net,JAWmm_lr,1.0,213310.48389942723
10,wave,neural_net,JAWmm_rf,1.0,196721.6762359381
11,wave,neural_net,naive,0.8677777777777778,92661.49852475617
11,wave,neural_net,jackknife,0.94,119100.6630267594
11,wave,neural_net,jackknife+,0.9755555555555555,124648.21072386648
11,wave,neural_net,jackknife-mm,1.0,208096.06680469378
11,wave,neural_net,CV+,0.9644444444444444,118888.5445208964
11,wave,neural_net,split,0.8944444444444445,103992.30180948367
11,wave,neural_net,JAW_oracle,0.9677777777777777,118180.76702556235
11,wave,neural_net,JAW_lr,0.9655555555555555,117741.80337872985
11,wave,neural_net,JAW_rf,0.9722222222222222,123668.12513252243
11,wave,neural_net,JAWmm_oracle,1.0,196232.38836564706
11,wave,neural_net,JAWmm_lr,1.0,196245.6103146344
11,wave,neural_net,JAWmm_rf,1.0,204069.6867445635
12,wave,neural_net,naive,0.8811111111111111,109012.83507068083
12,wave,neural_net,jackknife,0.8866666666666667,112268.40916428994
12,wave,neural_net,jackknife+,0.9333333333333333,120211.0315071363
12,wave,neural_net,jackknife-mm,1.0,208156.60574190784
12,wave,neural_net,CV+,0.95,122480.5088324328
12,wave,neural_net,split,0.8844444444444445,127232.80234159576
12,wave,neural_net,JAW_oracle,0.9477777777777778,125546.4441370581
12,wave,neural_net,JAW_lr,0.9666666666666667,129715.2801612895
12,wave,neural_net,JAW_rf,0.9477777777777778,124296.6958061083
12,wave,neural_net,JAWmm_oracle,1.0,212373.7418473577
12,wave,neural_net,JAWmm_lr,1.0,222512.82247507386
12,wave,neural_net,JAWmm_rf,1.0,208936.41073332634
13,wave,neural_net,naive,0.88,102222.13126598112
13,wave,neural_net,jackknife,0.9288888888888889,122962.38452302059
13,wave,neural_net,jackknife+,0.9588888888888889,126097.10492707731
13,wave,neural_net,jackknife-mm,1.0,219866.1978332639
13,wave,neural_net,CV+,0.9444444444444444,119507.07758306258
13,wave,neural_net,split,0.8733333333333333,108882.77806253126
13,wave,neural_net,JAW_oracle,0.9666666666666667,141427.387712955
