itrial,dataset,muh_fun,method,coverage,width
0,wave,random_forest,naive,0.46444444444444444,36546.84169999929
0,wave,random_forest,jackknife,0.8622222222222222,91012.8041000003
0,wave,random_forest,jackknife+,0.8511111111111112,90312.81862499984
0,wave,random_forest,jackknife-mm,0.97,128333.40780000004
0,wave,random_forest,CV+,0.8788888888888889,96143.26212499978
0,wave,random_forest,split,0.8655555555555555,105114.76990000019
0,wave,random_forest,JAW_oracle,0.9822222222222222,142845.0265749999
0,wave,random_forest,JAW_lr,0.9288888888888889,109525.93179999967
0,wave,random_forest,JAW_rf,0.9011111111111111,100218.57009999966
0,wave,random_forest,JAWmm_oracle,0.99,169172.51549999963
0,wave,random_forest,JAWmm_lr,0.9788888888888889,144475.48479999963
0,wave,random_forest,JAWmm_rf,0.9744444444444444,134100.6422
1,wave,random_forest,naive,0.5422222222222223,37452.89180000033
1,wave,random_forest,jackknife,0.9211111111111111,90164.60210000025
1,wave,random_forest,jackknife+,0.9255555555555556,91591.55825
1,wave,random_forest,jackknife-mm,0.9788888888888889,130165.64009999996
1,wave,random_forest,CV+,0.9244444444444444,92987.27595000039
1,wave,random_forest,split,0.9055555555555556,97978.29259999935
1,wave,random_forest,JAW_oracle,0.9288888888888889,91054.2630499996
1,wave,random_forest,JAW_lr,0.9333333333333333,91092.15994999977
1,wave,random_forest,JAW_rf,0.9277777777777778,92921.05262500024
1,wave,random_forest,JAWmm_oracle,0.9777777777777777,124179.79439999908
1,wave,random_forest,JAWmm_lr,0.9711111111111111,118261.43319999939
1,wave,random_forest,JAWmm_rf,0.9777777777777777,124726.30329999886
2,wave,random_forest,naive,0.4,33629.58619999979
2,wave,random_forest,jackknife,0.8066666666666666,82491.54320000019
2,wave,random_forest,jackknife+,0.83,85455.19804999977
2,wave,random_forest,jackknife-mm,0.9433333333333334,119169.83734999993
2,wave,random_forest,CV+,0.8577777777777778,89401.99447499937
2,wave,random_forest,split,0.8122222222222222,81150.26469999971
2,wave,random_forest,JAW_oracle,0.91,97478.84020000021
2,wave,random_forest,JAW_lr,0.8966666666666666,96033.4452500001
2,wave,random_forest,JAW_rf,0.8711111111111111,90445.79007499921
2,wave,random_forest,JAWmm_oracle,0.9433333333333334,124646.0779499996
2,wave,random_forest,JAWmm_lr,0.9433333333333334,121149.91654999997
2,wave,random_forest,JAWmm_rf,0.9433333333333334,121149.91654999997
3,wave,random_forest,naive,0.5422222222222223,37703.881899999455
3,wave,random_forest,jackknife,0.9044444444444445,90098.58839999977
3,wave,random_forest,jackknife+,0.9144444444444444,94025.76674999995
3,wave,random_forest,jackknife-mm,0.99,130266.77187499998
3,wave,random_forest,CV+,0.8944444444444445,92651.88260000013
3,wave,random_forest,split,0.8488888888888889,88208.44829999935
3,wave,random_forest,JAW_oracle,0.9966666666666667,137789.48892499984
3,wave,random_forest,JAW_lr,0.9611111111111111,108135.84190000012
3,wave,random_forest,JAW_rf,0.9277777777777778,97522.78282500023
3,wave,random_forest,JAWmm_oracle,0.9977777777777778,164263.81367499975
3,wave,random_forest,JAWmm_lr,0.9966666666666667,141046.7351750004
3,wave,random_forest,JAWmm_rf,0.99,131025.8086750008
4,wave,random_forest,naive,0.5744444444444444,37237.53200000059
4,wave,random_forest,jackknife,0.9,90125.2453999999
4,wave,random_forest,jackknife+,0.9066666666666666,92741.33405000006
4,wave,random_forest,jackknife-mm,0.9677777777777777,127426.1423500001
4,wave,random_forest,CV+,0.9222222222222223,96401.93654999998
4,wave,random_forest,split,0.9166666666666666,108176.36510000005
4,wave,random_forest,JAW_oracle,0.9455555555555556,104190.05952500016
4,wave,random_forest,JAW_lr,0.9133333333333333,93462.60870000022
4,wave,random_forest,JAW_rf,0.9144444444444444,95346.65674999985
4,wave,random_forest,JAWmm_oracle,0.9688888888888889,130859.91885000025
4,wave,random_forest,JAWmm_lr,0.9644444444444444,124297.15395000041
4,wave,random_forest,JAWmm_rf,0.9644444444444444,126051.015450001
5,wave,random_forest,naive,0.47888888888888886,35351.38780000061
5,wave,random_forest,jackknife,0.9355555555555556,97135.01520000026
5,wave,random_forest,jackknife+,0.9488888888888889,100965.25887499994
5,wave,random_forest,jackknife-mm,0.9844444444444445,139230.1778500001
5,wave,random_forest,CV+,0.9522222222222222,106481.9466250001
5,wave,random_forest,split,0.9466666666666667,109852.2088000006
5,wave,random_forest,JAW_oracle,0.9511111111111111,102459.11195000075
5,wave,random_forest,JAW_lr,0.9433333333333334,97517.64900000021
5,wave,random_forest,JAW_rf,0.9511111111111111,102885.07170000009
5,wave,random_forest,JAWmm_oracle,0.9844444444444445,139230.1778500001
5,wave,random_forest,JAWmm_lr,0.9811111111111112,133716.59894999955
5,wave,random_forest,JAWmm_rf,0.9822222222222222,138017.40544999996
6,wave,random_forest,naive,0.4688888888888889,35229.15679999953
6,wave,random_forest,jackknife,0.91,90864.53199999966
6,wave,random_forest,jackknife+,0.91,91075.27760000015
6,wave,random_forest,jackknife-mm,0.9844444444444445,125649.03689999995
6,wave,random_forest,CV+,0.9077777777777778,89702.00287499989
6,wave,random_forest,split,0.88,86217.37520000013
6,wave,random_forest,JAW_oracle,0.8822222222222222,82553.33337500005
6,wave,random_forest,JAW_lr,0.8955555555555555,85659.41187499999
6,wave,random_forest,JAW_rf,0.91,91352.63325000007
6,wave,random_forest,JAWmm_oracle,0.9711111111111111,113916.30430000019
6,wave,random_forest,JAWmm_lr,0.9711111111111111,114137.31539999996
6,wave,random_forest,JAWmm_rf,0.9844444444444445,125227.85640000016
7,wave,random_forest,naive,0.4711111111111111,33887.633199999575
7,wave,random_forest,jackknife,0.8777777777777778,88772.32429999998
7,wave,random_forest,jackknife+,0.9111111111111111,89916.57324999967
7,wave,random_forest,jackknife-mm,0.9677777777777777,124287.97237499978
7,wave,random_forest,CV+,0.9111111111111111,90465.2647750004
7,wave,random_forest,split,0.8055555555555556,81285.0400000005
7,wave,random_forest,JAW_oracle,0.9066666666666666,92366.90279999946
7,wave,random_forest,JAW_lr,0.9277777777777778,97686.57459999993
7,wave,random_forest,JAW_rf,0.9166666666666666,92020.77237499948
7,wave,random_forest,JAWmm_oracle,0.9677777777777777,124461.35837500019
7,wave,random_forest,JAWmm_lr,0.9744444444444444,129691.41437500005
7,wave,random_forest,JAWmm_rf,0.9677777777777777,124287.97237499978
8,wave,random_forest,naive,0.5066666666666667,34826.93839999987
8,wave,random_forest,jackknife,0.9022222222222223,89590.26049999986
8,wave,random_forest,jackknife+,0.9277777777777778,94317.52289999998
8,wave,random_forest,jackknife-mm,0.9855555555555555,128179.79377500003
8,wave,random_forest,CV+,0.9222222222222223,94897.75827500015
8,wave,random_forest,split,0.9444444444444444,110304.2285000002
8,wave,random_forest,JAW_oracle,0.9377777777777778,100024.90744999994
8,wave,random_forest,JAW_lr,0.9444444444444444,103023.85297499981
8,wave,random_forest,JAW_rf,0.9322222222222222,98072.05390000064
8,wave,random_forest,JAWmm_oracle,0.9888888888888889,138462.57447500003
8,wave,random_forest,JAWmm_lr,0.9888888888888889,138462.57447500003
8,wave,random_forest,JAWmm_rf,0.9866666666666667,128639.9680750001
9,wave,random_forest,naive,0.4955555555555556,35419.26829999918
9,wave,random_forest,jackknife,0.8477777777777777,83774.77139999997
9,wave,random_forest,jackknife+,0.9,91418.32587499998
9,wave,random_forest,jackknife-mm,0.9688888888888889,124691.85129999975
9,wave,random_forest,CV+,0.9177777777777778,91955.4776999997
9,wave,random_forest,split,0.93,106692.78719999967
9,wave,random_forest,JAW_oracle,0.9833333333333333,145085.10387499968
9,wave,random_forest,JAW_lr,0.9688888888888889,118817.56287500064
9,wave,random_forest,JAW_rf,0.9177777777777778,96483.63317499997
9,wave,random_forest,JAWmm_oracle,0.9988888888888889,183491.32959999936
9,wave,random_forest,JAWmm_lr,0.9811111111111112,143383.70239999983
9,wave,random_forest,JAWmm_rf,0.9688888888888889,124691.85129999975
10,wave,random_forest,naive,0.49777777777777776,34924.96640000073
10,wave,random_forest,jackknife,0.9111111111111111,91904.5157999997
10,wave,random_forest,jackknife+,0.9166666666666666,95194.30235000071
10,wave,random_forest,jackknife-mm,0.9811111111111112,127480.07079999964
10,wave,random_forest,CV+,0.92,95757.35149999987
10,wave,random_forest,split,0.8466666666666667,79519.16090000002
10,wave,random_forest,JAW_oracle,0.8977777777777778,86003.12915000028
