itrial,dataset,muh_fun,method,coverage,width
0,airfoil,neural_net,naive,0.6943164362519201,10.577007934059395
0,airfoil,neural_net,jackknife,0.8218125960061444,13.835336501640342
0,airfoil,neural_net,jackknife+,0.847926267281106,15.011438784617113
0,airfoil,neural_net,jackknife-mm,0.9800307219662059,23.806347231699064
0,airfoil,neural_net,CV+,0.8648233486943164,14.41127524594205
0,airfoil,neural_net,split,0.8125960061443932,14.658971864034356
0,airfoil,neural_net,weighted_split_oracle,0.9615975422427036,19.302363233504593
0,airfoil,neural_net,weighted_split_lr,0.9646697388632872,19.302363233504593
0,airfoil,neural_net,weighted_split_rf,0.9324116743471582,17.069884892542404
0,airfoil,neural_net,JAW_oracle,0.9493087557603687,19.43754989043785
0,airfoil,neural_net,JAW_lr,0.9523809523809523,19.3786939796521
0,airfoil,neural_net,JAW_rf,0.9447004608294931,18.352080776816294
0,airfoil,neural_net,JAWmm_oracle,0.989247311827957,27.091684701335325
0,airfoil,neural_net,JAWmm_lr,0.989247311827957,27.091684701335325
0,airfoil,neural_net,JAWmm_rf,0.9877112135176651,26.774244273708618
1,airfoil,neural_net,naive,0.804915514592934,13.211421781250039
1,airfoil,neural_net,jackknife,0.804915514592934,13.317827214363433
1,airfoil,neural_net,jackknife+,0.9124423963133641,15.046267309160896
1,airfoil,neural_net,jackknife-mm,0.9969278033794163,25.405178288161352
1,airfoil,neural_net,CV+,0.8878648233486943,14.738303935234015
1,airfoil,neural_net,split,0.8924731182795699,15.730607766442176
1,airfoil,neural_net,weighted_split_oracle,0.9493087557603687,18.29397266277516
1,airfoil,neural_net,weighted_split_lr,0.9493087557603687,18.29397266277516
1,airfoil,neural_net,weighted_split_rf,0.9493087557603687,18.29397266277516
1,airfoil,neural_net,JAW_oracle,0.9493087557603687,18.937585410305246
1,airfoil,neural_net,JAW_lr,0.9447004608294931,18.885588179911366
1,airfoil,neural_net,JAW_rf,0.9400921658986175,18.8983667598292
1,airfoil,neural_net,JAWmm_oracle,0.9969278033794163,27.768379610676078
1,airfoil,neural_net,JAWmm_lr,0.9969278033794163,27.768379610676078
1,airfoil,neural_net,JAWmm_rf,0.9969278033794163,27.768379610676078
2,airfoil,neural_net,naive,0.7926267281105991,12.469783458927026
2,airfoil,neural_net,jackknife,0.8402457757296466,14.337270296150535
2,airfoil,neural_net,jackknife+,0.8402457757296466,15.224707806943428
2,airfoil,neural_net,jackknife-mm,0.9831029185867896,25.278062937511493
2,airfoil,neural_net,CV+,0.837173579109063,14.524948034863186
2,airfoil,neural_net,split,0.8678955453149002,17.496253559350606
2,airfoil,neural_net,weighted_split_oracle,0.9400921658986175,25.367156500379835
2,airfoil,neural_net,weighted_split_lr,0.9247311827956989,25.366523198791114
2,airfoil,neural_net,weighted_split_rf,0.9170506912442397,25.366523198791086
2,airfoil,neural_net,JAW_oracle,0.9339477726574501,20.58367521525234
