itrial,dataset,muh_fun,method,coverage,width
0,communities,neural_net,naive,0.6042363433667781,0.34429972779872453
0,communities,neural_net,jackknife,0.8974358974358975,0.7607045805036886
0,communities,neural_net,jackknife+,0.875139353400223,0.7350820600316801
0,communities,neural_net,jackknife-mm,0.9665551839464883,0.9952438550688456
0,communities,neural_net,CV+,0.919732441471572,0.7935675359252367
0,communities,neural_net,split,0.8327759197324415,0.8155052230312685
0,communities,neural_net,weighted_split_oracle,0.935340022296544,1.0623105729121685
0,communities,neural_net,weighted_split_lr,0.9319955406911928,1.0304099812592016
0,communities,neural_net,weighted_split_rf,0.8929765886287625,1.004007368419142
0,communities,neural_net,JAW_oracle,0.9509476031215162,0.9249367238662551
0,communities,neural_net,JAW_lr,0.9442586399108138,0.8737130988224667
0,communities,neural_net,JAW_rf,0.9331103678929766,0.8526155832179125
0,communities,neural_net,JAWmm_oracle,0.9765886287625418,1.0743812261319963
0,communities,neural_net,JAWmm_lr,0.9754738015607581,1.0632719259714278
0,communities,neural_net,JAWmm_rf,0.9665551839464883,0.998905615063993
1,communities,neural_net,naive,0.7770345596432553,0.280395523240902
1,communities,neural_net,jackknife,0.9587513935340022,0.5733454412058088
1,communities,neural_net,jackknife+,0.9542920847268673,0.5774507710651078
1,communities,neural_net,jackknife-mm,0.9777034559643255,0.7472524782323621
1,communities,neural_net,CV+,0.9576365663322185,0.5929784788662338
1,communities,neural_net,split,0.8416945373467113,0.6304577387326764
1,communities,neural_net,weighted_split_oracle,0.9732441471571907,0.9709369203235682
1,communities,neural_net,weighted_split_lr,0.959866220735786,0.957531505410002
1,communities,neural_net,weighted_split_rf,0.9687848383500557,0.8526792757429811
1,communities,neural_net,JAW_oracle,0.9821627647714605,0.8720205398797538
1,communities,neural_net,JAW_lr,0.9843924191750278,0.8869870517819264
1,communities,neural_net,JAW_rf,0.979933110367893,0.8345743005827326
1,communities,neural_net,JAWmm_oracle,0.992196209587514,1.003026755670939
1,communities,neural_net,JAWmm_lr,0.992196209587514,1.003026755670939
1,communities,neural_net,JAWmm_rf,0.987736900780379,0.8801680994579472
2,communities,neural_net,naive,0.5641025641025641,0.2881048698884685
2,communities,neural_net,jackknife,0.79041248606466,0.5215808604861316
2,communities,neural_net,jackknife+,0.7759197324414716,0.5122176807102528
2,communities,neural_net,jackknife-mm,0.8974358974358975,0.7112279090509107
2,communities,neural_net,CV+,0.8037904124860646,0.5632255036908069
2,communities,neural_net,split,0.7748049052396878,0.6000701500046041
2,communities,neural_net,weighted_split_oracle,0.9743589743589743,1.1144123068210472
2,communities,neural_net,weighted_split_lr,0.955406911928651,0.8129801086611789
2,communities,neural_net,weighted_split_rf,0.9520624303232998,0.812980108661179
2,communities,neural_net,JAW_oracle,0.9219620958751393,0.8937535761883149
2,communities,neural_net,JAW_lr,0.9163879598662207,0.811064550189424
2,communities,neural_net,JAW_rf,0.9141583054626533,0.7646788567428818
2,communities,neural_net,JAWmm_oracle,0.9821627647714605,1.0566357467215366
2,communities,neural_net,JAWmm_lr,0.9732441471571907,0.9420853518723296
2,communities,neural_net,JAWmm_rf,0.9587513935340022,0.888406327428139
3,communities,neural_net,naive,0.48494983277591974,0.2929413567118902
3,communities,neural_net,jackknife,0.770345596432553,0.5880359459601885
3,communities,neural_net,jackknife+,0.7759197324414716,0.588805787148457
3,communities,neural_net,jackknife-mm,0.9264214046822743,0.8210442641686654
3,communities,neural_net,CV+,0.850613154960981,0.6731965457258737
3,communities,neural_net,split,0.7725752508361204,0.6622053695998255
3,communities,neural_net,weighted_split_oracle,0.9264214046822743,0.9247053470196157
3,communities,neural_net,weighted_split_lr,0.9364548494983278,0.8360495117221298
3,communities,neural_net,weighted_split_rf,0.9587513935340022,1.0260419461655732
3,communities,neural_net,JAW_oracle,0.9342251950947603,0.824476455665496
3,communities,neural_net,JAW_lr,0.9286510590858417,0.7706102364443868
3,communities,neural_net,JAW_rf,0.9375696767001115,0.8327757835305092
3,communities,neural_net,JAWmm_oracle,0.9565217391304348,1.000892895583723
3,communities,neural_net,JAWmm_lr,0.9431438127090301,0.9255000326431434
3,communities,neural_net,JAWmm_rf,0.9565217391304348,1.000892895583723
4,communities,neural_net,naive,0.4793756967670011,0.25737324794392613
4,communities,neural_net,jackknife,0.725752508361204,0.4793105540656388
4,communities,neural_net,jackknife+,0.7068004459308808,0.4845303969341178
4,communities,neural_net,jackknife-mm,0.8584169453734671,0.6696661163324191
4,communities,neural_net,CV+,0.798216276477146,0.5431370086095096
4,communities,neural_net,split,0.8996655518394648,0.7458314608402417
4,communities,neural_net,weighted_split_oracle,0.9520624303232998,0.920341902705659
4,communities,neural_net,weighted_split_lr,0.9565217391304348,0.920341902705659
4,communities,neural_net,weighted_split_rf,0.9520624303232998,0.920341902705659
4,communities,neural_net,JAW_oracle,0.842809364548495,0.6474363502232212
4,communities,neural_net,JAW_lr,0.8784838350055741,0.6961244438411307
4,communities,neural_net,JAW_rf,0.882943143812709,0.6825066201353225
4,communities,neural_net,JAWmm_oracle,0.919732441471572,0.8111397977566657
4,communities,neural_net,JAWmm_lr,0.9264214046822743,0.8377919124900014
4,communities,neural_net,JAWmm_rf,0.9264214046822743,0.8377919124900014
5,communities,neural_net,naive,0.5340022296544036,0.3211446510250824
5,communities,neural_net,jackknife,0.8416945373467113,0.6892276109497688
5,communities,neural_net,jackknife+,0.867335562987737,0.7095888320173735
5,communities,neural_net,jackknife-mm,0.947603121516165,0.976922782862878
5,communities,neural_net,CV+,0.915273132664437,0.7952055097328539
5,communities,neural_net,split,0.8115942028985508,0.8407317073719978
5,communities,neural_net,weighted_split_oracle,0.867335562987737,0.8633247264159044
5,communities,neural_net,weighted_split_lr,0.8818283166109253,0.8633247264159045
5,communities,neural_net,weighted_split_rf,0.8851727982162765,0.8633247264159046
5,communities,neural_net,JAW_oracle,0.9531772575250836,1.00388502668723
5,communities,neural_net,JAW_lr,0.9420289855072463,0.8698846952684847
5,communities,neural_net,JAW_rf,0.959866220735786,0.9552703623344634
5,communities,neural_net,JAWmm_oracle,0.9888517279821628,1.220748280492906
5,communities,neural_net,JAWmm_lr,0.9620958751393534,1.1087881609526473
5,communities,neural_net,JAWmm_rf,0.9832775919732442,1.1808030959002522
6,communities,neural_net,naive,0.42920847268673357,0.22191534143883437
6,communities,neural_net,jackknife,0.7045707915273133,0.4533407663310941
6,communities,neural_net,jackknife+,0.7357859531772575,0.46422812621015297
6,communities,neural_net,jackknife-mm,0.8807134894091416,0.6566851350635903
6,communities,neural_net,CV+,0.7948717948717948,0.5151699459383372
6,communities,neural_net,split,0.7190635451505016,0.5240803154150848
6,communities,neural_net,weighted_split_oracle,0.9342251950947603,0.8567672164266331
6,communities,neural_net,weighted_split_lr,0.9788182831661093,1.0725663973506356
6,communities,neural_net,weighted_split_rf,0.9375696767001115,0.8567672164266331
6,communities,neural_net,JAW_oracle,0.8383500557413601,0.564617464673844
6,communities,neural_net,JAW_lr,0.8784838350055741,0.58929521492089
6,communities,neural_net,JAW_rf,0.8929765886287625,0.6024257577867751
6,communities,neural_net,JAWmm_oracle,0.919732441471572,0.7531314303202199
6,communities,neural_net,JAWmm_lr,0.919732441471572,0.7549172162672604
6,communities,neural_net,JAWmm_rf,0.919732441471572,0.7549172162672604
