itrial,dataset,muh_fun,method,coverage,width
0,superconduct,neural_net,naive,0.8422222222222222,85.23764244308217
0,superconduct,neural_net,jackknife,0.8511111111111112,87.66890633387266
0,superconduct,neural_net,jackknife+,0.9266666666666666,92.89809041777477
0,superconduct,neural_net,jackknife-mm,1.0,142.41148618702013
0,superconduct,neural_net,CV+,0.9244444444444444,94.60603171445982
0,superconduct,neural_net,split,0.9033333333333333,99.2596092484888
0,superconduct,neural_net,weighted_split_oracle,0.9633333333333334,121.95901755403509
0,superconduct,neural_net,weighted_split_lr,0.9555555555555556,121.95901755403509
0,superconduct,neural_net,weighted_split_rf,0.9388888888888889,121.95901755403509
0,superconduct,neural_net,JAW_oracle,0.9544444444444444,102.57430893658105
0,superconduct,neural_net,JAW_lr,0.95,102.85487118474727
0,superconduct,neural_net,JAW_rf,0.9533333333333334,102.63924227114998
0,superconduct,neural_net,JAWmm_oracle,1.0,152.42997936141637
0,superconduct,neural_net,JAWmm_lr,1.0,149.2633855862466
0,superconduct,neural_net,JAWmm_rf,1.0,149.2633855862466
1,superconduct,neural_net,naive,0.8366666666666667,83.70530408684095
1,superconduct,neural_net,jackknife,0.8922222222222222,96.66729276728427
1,superconduct,neural_net,jackknife+,0.9344444444444444,98.01316557794847
1,superconduct,neural_net,jackknife-mm,1.0,156.4119806878764
1,superconduct,neural_net,CV+,0.8955555555555555,94.17584339325705
1,superconduct,neural_net,split,0.8911111111111111,96.57847325808788
1,superconduct,neural_net,weighted_split_oracle,0.9366666666666666,111.92152674191212
1,superconduct,neural_net,weighted_split_lr,0.9755555555555555,126.17847325808786
1,superconduct,neural_net,weighted_split_rf,0.9611111111111111,111.92152674191212
1,superconduct,neural_net,JAW_oracle,0.96,105.81943159252052
1,superconduct,neural_net,JAW_lr,0.9688888888888889,108.80066992309659
1,superconduct,neural_net,JAW_rf,0.9744444444444444,112.31068285164798
1,superconduct,neural_net,JAWmm_oracle,1.0,157.61329332270645
1,superconduct,neural_net,JAWmm_lr,1.0,158.0735305751489
1,superconduct,neural_net,JAWmm_rf,1.0,159.2981742303396
2,superconduct,neural_net,naive,0.8177777777777778,82.62898680421156
2,superconduct,neural_net,jackknife,0.8355555555555556,85.46665809198302
2,superconduct,neural_net,jackknife+,0.9411111111111111,92.65627942377546
2,superconduct,neural_net,jackknife-mm,0.9977777777777778,150.09642221253134
2,superconduct,neural_net,CV+,0.9511111111111111,96.5313233102568
2,superconduct,neural_net,split,0.8455555555555555,88.58495124770454
2,superconduct,neural_net,weighted_split_oracle,0.9844444444444445,144.61037483306148
2,superconduct,neural_net,weighted_split_lr,0.99,144.61037483306148
2,superconduct,neural_net,weighted_split_rf,0.9811111111111112,144.61037483306148
2,superconduct,neural_net,JAW_oracle,0.9722222222222222,106.18130832339511
2,superconduct,neural_net,JAW_lr,0.9877777777777778,110.44760946438286
2,superconduct,neural_net,JAW_rf,0.9744444444444444,106.78867171075078
2,superconduct,neural_net,JAWmm_oracle,1.0,155.46109276029216
2,superconduct,neural_net,JAWmm_lr,1.0,171.5941010623087
2,superconduct,neural_net,JAWmm_rf,1.0,155.46109276029216
3,superconduct,neural_net,naive,0.8988888888888888,91.44752610002692
3,superconduct,neural_net,jackknife,0.92,96.48456513903977
3,superconduct,neural_net,jackknife+,0.95,98.71815361440318
3,superconduct,neural_net,jackknife-mm,1.0,149.947415939571
3,superconduct,neural_net,CV+,0.9366666666666666,96.48292764554486
3,superconduct,neural_net,split,0.9044444444444445,100.11909951866417
3,superconduct,neural_net,weighted_split_oracle,0.9444444444444444,108.11909951866414
3,superconduct,neural_net,weighted_split_lr,0.9555555555555556,108.11909951866414
3,superconduct,neural_net,weighted_split_rf,0.9622222222222222,107.48090048179347
3,superconduct,neural_net,JAW_oracle,0.9777777777777777,112.7146678266014
3,superconduct,neural_net,JAW_lr,0.9866666666666667,110.8058605406399
3,superconduct,neural_net,JAW_rf,0.9788888888888889,114.06066610735115
3,superconduct,neural_net,JAWmm_oracle,1.0,158.82932575674621
3,superconduct,neural_net,JAWmm_lr,1.0,156.72351691457249
3,superconduct,neural_net,JAWmm_rf,1.0,157.49327272190723
4,superconduct,neural_net,naive,0.7955555555555556,91.92486336275437
4,superconduct,neural_net,jackknife,0.8233333333333334,95.04411387909028
4,superconduct,neural_net,jackknife+,0.9433333333333334,103.30527019665087
4,superconduct,neural_net,jackknife-mm,0.9955555555555555,158.49308282233616
4,superconduct,neural_net,CV+,0.9266666666666666,98.65189270671819
4,superconduct,neural_net,split,0.7988888888888889,83.66119688869497
4,superconduct,neural_net,weighted_split_oracle,0.9777777777777777,116.55667233472366
4,superconduct,neural_net,weighted_split_lr,0.9855555555555555,116.55667233472366
4,superconduct,neural_net,weighted_split_rf,0.97,103.19065474838503
4,superconduct,neural_net,JAW_oracle,0.9566666666666667,106.24081215109942
4,superconduct,neural_net,JAW_lr,0.9455555555555556,103.65945939385742
4,superconduct,neural_net,JAW_rf,0.9677777777777777,110.95119023980965
4,superconduct,neural_net,JAWmm_oracle,0.9955555555555555,158.49308282233616
4,superconduct,neural_net,JAWmm_lr,0.9955555555555555,158.49308282233616
4,superconduct,neural_net,JAWmm_rf,0.9955555555555555,158.49308282233616
5,superconduct,neural_net,naive,0.8733333333333333,90.43099834014546
5,superconduct,neural_net,jackknife,0.8655555555555555,89.61520345103773
